Id,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2utslipp,AntallSeter,Karosseri,AntallDører,AntallEiere,Avgiftsklasse,Maksimaltilhengervekt,SalePrice
43,340996090,2006,350000,Automat,Diesel,Grå,Bakhjulsdrift,170,2.1,1735,194,5,Stasjonsvogn,5,5,Personbil,2100,13845
44,340998952,2006,243795,Manuell,Bensin,Grå,Forhjulsdrift,105,1.6,1240,161,5,Stasjonsvogn,5,7,Personbil,1100,14845
45,340932421,2002,317000,Manuell,Bensin,Blå,Forhjulsdrift,105,1.6,1215,168,5,Sedan,4,6,Personbil,1200,11845
46,340913122,2007,179000,Manuell,Diesel,Svart,Forhjulsdrift,136,2.0,1505,155,5,Sedan,4,5,Personbil,1900,10845
47,340895717,2004,188000,Manuell,Diesel,Sølv,Forhjulsdrift,101,1.9,1639,162,5,Flerbruksbil,5,5,Personbil,1500,11845
48,340896181,1999,220000,Manuell,Bensin,Blå,Forhjulsdrift,101,1.6,1162,185,5,Sedan,4,3,Personbil,1200,13074
49,340782840,2008,257000,Manuell,Diesel,Svart,Forhjulsdrift,140,2.0,1470,149,5,Stasjonsvogn,5,4,Personbil,1600,14345
50,340881157,2007,238629,Automat,Diesel,Svart,Forhjulsdrift,109,2.0,1305,142,5,Flerbruksbil,4,3,Personbil,1500,12745
51,340883848,2011,200000,Manuell,Diesel,Grå,Forhjulsdrift,111,1.6,1615,139,2,Kasse,4,5,Varebil,1300,13231
52,340829486,2007,213000,Manuell,Bensin,Svart,Forhjulsdrift,102,1.6,1208,178,5,KombiFemdørs,5,6,Personbil,1200,14345
53,340805035,2006,198000,Manuell,Bensin,Sølv,Forhjulsdrift,170,2.0,1717,194,5,Sedan,4,9,Personbil,1400,11845
54,340743831,2004,228036,Manuell,Bensin,Svart,Forhjulsdrift,116,1.6,1355,158,5,Stasjonsvogn,4,6,Personbil,1200,10845
55,340521678,2004,235000,Manuell,Bensin,Beige,Forhjulsdrift,102,1.6,1354,192,5,Stasjonsvogn,5,5,Personbil,1200,10845
56,340600507,2007,198000,Manuell,Diesel,Sølv,Forhjulsdrift,90,1.8,1575,174,2,Kasse,3,9,Varebil,1200,11231
57,340557446,2009,352000,Automat,Diesel,Rød,Forhjulsdrift,140,2.0,1597,187,5,Stasjonsvogn,5,4,Personbil,2000,11845
58,333797999,2007,177000,Manuell,Diesel,Hvit,Forhjulsdrift,75,1.8,1575,171,2,Kasse,4,8,Varebil,1200,11186
59,340339850,2006,226934,Manuell,Diesel,Sølv,Forhjulsdrift,109,1.6,1341,132,5,Stasjonsvogn,4,8,Personbil,1300,11845
60,337270395,2011,287000,Manuell,Diesel,Grå,Forhjulsdrift,90,1.4,1135,113,5,Flerbruksbil,5,4,Personbil,800,13074
61,340160567,2008,270000,Automat,Bensin,Svart,Forhjulsdrift,120,1.6,1312,174,5,KombiFemdørs,5,3,Personbil,1520,13845
62,268882640,2006,186000,Manuell,Bensin,Sølv,Forhjulsdrift,102,1.6,1208,178,5,KombiFemdørs,5,3,Personbil,1000,10729
63,339611012,1999,205755,Manuell,Bensin,Grønn,Forhjulsdrift,86,1.3,1065,168,5,Coupe,5,9,Personbil,1000,12845
64,339814746,2005,194000,Manuell,Diesel,Grå,Bakhjulsdrift,163,2.0,1430,153,5,Sedan,4,6,Personbil,1600,11845
65,339778227,2004,292000,Manuell,Bensin,Grå,Forhjulsdrift,129,1.8,1295,172,5,Stasjonsvogn,4,5,Personbil,1300,10845
66,337882443,2003,165352,Manuell,Bensin,Rød,Forhjulsdrift,109,1.6,1355,184,5,Stasjonsvogn,5,3,Personbil,1200,12845
67,335882879,2005,268709,Manuell,Diesel,Svart,Forhjulsdrift,136,2.0,1710,176,7,Flerbruksbil,4,6,Personbil,2000,11777
68,339737318,2007,190780,Manuell,Bensin,Svart,Forhjulsdrift,102,1.6,1308,187,5,Flerbruksbil,5,6,Personbil,1200,15000
69,339722924,2003,126000,Manuell,Bensin,Sølv,Forhjulsdrift,75,1.4,1186,156,5,KombiFemdørs,5,6,Personbil,1000,13074
70,339672965,2008,296497,Manuell,Bensin,Svart,Forhjulsdrift,99,1.6,1275,167,4,KombiTredørs,2,8,Personbil,1200,14000
71,339631836,2007,170190,Manuell,Bensin,Grønn,Forhjulsdrift,64,1.2,1173,144,5,Coupe,4,8,Personbil,800,10845
72,339377270,2010,303968,Manuell,Diesel,Sølv,Forhjulsdrift,105,1.9,1603,140,7,Flerbruksbil,5,5,Personbil,1200,14845
73,339218905,2007,240000,Manuell,Diesel,Sølv,Firehjulsdrift,150,2.0,1643,184,5,KombiFemdørs,5,1,Personbil,1400,15000
74,339173613,2008,201600,Manuell,Bensin,Beige,Forhjulsdrift,64,1.2,1165,145,5,Stasjonsvogn,5,2,Personbil,750,14900
75,339030559,2007,335000,Manuell,Diesel,Grå,Forhjulsdrift,126,2.0,1465,155,5,Stasjonsvogn,5,3,Personbil,1300,11845
76,338826148,2006,299081,Manuell,Diesel,Rød,Forhjulsdrift,101,1.9,1285,140,5,Stasjonsvogn,5,3,Personbil,1300,11845
77,338799098,2004,180715,Manuell,Bensin,Svart,Forhjulsdrift,95,1.5,1195,161,5,Stasjonsvogn,2,3,Personbil,1000,13074
78,338499955,2002,209876,Manuell,Bensin,Gul,Forhjulsdrift,86,1.3,1000,155,5,KombiFemdørs,4,6,Personbil,900,12000
79,338409566,2003,139900,Manuell,Bensin,Sølv,Forhjulsdrift,122,1.8,1300,190,5,Sedan,4,4,Personbil,1300,11880
80,338377505,2009,260000,Manuell,Diesel,Hvit,Forhjulsdrift,120,1.9,1490,147,5,Sedan,4,7,Personbil,1500,12845
81,338257867,2008,191016,Manuell,Diesel,Sølv,Forhjulsdrift,109,1.6,1319,129,5,Sedan,4,5,Personbil,1300,15000
82,338025371,2004,252552,Manuell,Diesel,Gull,Forhjulsdrift,75,1.4,1100,129,4,KombiTredørs,2,2,Personbil,650,13074
83,335952689,2003,246000,Automat,Bensin,Grå,Forhjulsdrift,179,2.0,1562,246,5,Sedan,4,3,Personbil,1600,12345
84,337315694,2008,197769,Automat,Bensin,Sølv,Forhjulsdrift,87,1.3,1025,136,5,Sedan,4,7,Personbil,750,14300
85,337298899,2007,181000,Manuell,Diesel,Sølv,Forhjulsdrift,121,2.0,1430,158,5,Stasjonsvogn,4,3,Personbil,1000,13845
86,334372452,2001,314700,Automat,Bensin,Sølv,Firehjulsdrift,200,2.4,1687,254,5,Stasjonsvogn,5,9,Personbil,1800,13777
87,318452067,2004,250080,Manuell,Bensin,Svart,Forhjulsdrift,165,2.4,1645,223,7,Flerbruksbil,5,5,Personbil,1600,13845
88,336328005,2004,195526,Automat,Bensin,Grå,Forhjulsdrift,87,1.3,935,150,5,KombiFemdørs,4,7,Personbil,900,14777
89,326510990,2004,238000,Manuell,Bensin,Blå,Forhjulsdrift,122,1.8,1280,187,5,Stasjonsvogn,5,6,Personbil,1200,11777
90,335892487,2003,335000,Manuell,Bensin,Sølv,Forhjulsdrift,140,2.4,1509,217,5,Stasjonsvogn,5,8,Personbil,1800,14845
91,326820238,2004,266000,Automat,Bensin,Grå,Firehjulsdrift,150,2.0,1483,221,5,SUVOffroad,5,2,Personbil,1200,13777
92,335181068,2006,150000,Manuell,Bensin,Grå,Bakhjulsdrift,116,1.6,1415,184,5,Sedan,4,8,Personbil,1100,13845
93,335147584,2004,246000,Manuell,Bensin,Grønn,Forhjulsdrift,116,1.8,1245,184,5,KombiFemdørs,4,7,Personbil,1300,14000
94,334478152,2003,203000,Manuell,Diesel,Svart,Firehjulsdrift,116,2.0,1370,190,5,KombiFemdørs,4,7,Personbil,1500,14777
95,334094084,2004,75000,Manuell,Bensin,Svart,Forhjulsdrift,60,1.1,1053,140,5,KombiFemdørs,4,6,Personbil,926,14777
96,332526123,2008,200000,Manuell,Bensin,Svart,Forhjulsdrift,95,1.3,1050,143,5,KombiFemdørs,4,12,Personbil,1000,13777
97,325881927,2004,310000,Manuell,Bensin,Grå,Forhjulsdrift,116,1.7,1550,187,5,Sedan,4,8,Personbil,1300,11277
98,324810711,2010,246468,Manuell,Diesel,Svart,Firehjulsdrift,150,2.0,1571,167,5,Stasjonsvogn,5,6,Personbil,1700,11777
99,317631626,2007,263500,Manuell,Diesel,Sølv,Forhjulsdrift,125,1.8,1744,164,7,KombiFemdørs,4,10,Personbil,1450,11777
100,326202158,2005,225474,Manuell,Diesel,Svart,Bakhjulsdrift,109,2.0,1360,151,5,Flerbruksbil,5,7,Personbil,1500,16777
101,341462736,2004,250321,Manuell,Diesel,Sølv,Firehjulsdrift,101,1.9,1512,170,5,Stasjonsvogn,4,8,Personbil,1500,15845
102,341273953,2007,267300,Manuell,Diesel,Svart,Forhjulsdrift,105,1.9,1455,161,2,Kasse,4,5,Varebil,1500,19845
103,337559609,2004,294000,Automat,Bensin,Sølv,Bakhjulsdrift,163,1.8,1530,214,5,Sedan,4,10,Personbil,1900,19845
104,338807796,2008,331893,Manuell,Diesel,Grå,Firehjulsdrift,105,1.9,1389,158,5,KombiFemdørs,5,2,Personbil,1500,18845
105,341344762,2007,293000,Automat,Diesel,Grå,Forhjulsdrift,131,2.0,1522,189,5,Stasjonsvogn,5,5,Personbil,2000,19845
106,331405232,2006,110000,Manuell,Bensin,Svart,Bakhjulsdrift,116,1.6,1340,184,5,Sedan,4,4,Personbil,1100,16777
107,341339015,1999,151690,Manuell,Bensin,Blå,Forhjulsdrift,101,1.6,1100,192,5,KombiFemdørs,5,8,Personbil,1150,16845
108,341323168,2009,222490,Manuell,Diesel,Svart,Forhjulsdrift,90,1.6,1277,119,5,KombiFemdørs,5,6,Personbil,1200,18500
109,341296408,2007,225000,Manuell,Bensin,Sølv,Forhjulsdrift,110,1.6,1315,173,5,Stasjonsvogn,4,9,Personbil,1300,16845
110,341291677,2007,325363,Manuell,Diesel,Brun,Firehjulsdrift,140,2.0,1477,158,5,Stasjonsvogn,5,1,Personbil,1500,17845
111,341281873,2003,421000,Automat,Diesel,Svart,Forhjulsdrift,131,2.4,1567,204,5,Sedan,4,16,Personbil,1800,17845
112,341267824,2005,119315,Automat,Bensin,Sølv,Forhjulsdrift,150,2.0,1580,251,5,Stasjonsvogn,5,2,Personbil,1800,19845
113,341223804,2008,158708,Manuell,Diesel,Grå,Forhjulsdrift,90,1.6,1280,120,5,Sedan,4,9,Personbil,1150,18745
114,341263024,2007,259044,Manuell,Diesel,Blå,Forhjulsdrift,105,1.9,1625,159,5,Stasjonsvogn,5,2,Personbil,1500,18845
115,341240236,2003,150000,Manuell,Diesel,Rød,Firehjulsdrift,114,2.2,1525,190,5,SUVOffroad,4,5,Personbil,2000,17000
116,341218004,2008,277000,Manuell,Diesel,Svart,Forhjulsdrift,109,1.6,1275,128,5,KombiFemdørs,5,12,Personbil,1300,18845
117,341219456,2000,105000,Manuell,Bensin,Blå,Forhjulsdrift,68,1.0,865,137,5,KombiFemdørs,4,5,Personbil,650,16845
118,341208285,2005,156813,Manuell,Bensin,Sølv,Forhjulsdrift,91,1.3,1065,148,5,Sedan,4,9,Personbil,1000,18800
119,341202275,2011,256864,Manuell,Diesel,Hvit,Forhjulsdrift,116,1.6,1570,125,5,Stasjonsvogn,4,5,Personbil,1600,18000
120,341182604,2011,154300,Automat,Bensin,Sølv,Forhjulsdrift,95,1.3,975,127,5,KombiFemdørs,4,7,Personbil,1000,19845
121,340727159,2008,347000,Manuell,Diesel,Grå,Forhjulsdrift,126,2.4,1622,172,5,Stasjonsvogn,5,3,Personbil,1800,18845
122,341129800,2002,201170,Manuell,Bensin,Blå,Forhjulsdrift,68,1.0,850,137,5,KombiTredørs,3,7,Personbil,650,16845
123,341126322,2008,298000,Manuell,Diesel,Svart,Forhjulsdrift,105,1.9,1552,137,5,Stasjonsvogn,5,9,Personbil,1200,18500
124,336249461,2003,242000,Automat,Bensin,Svart,Bakhjulsdrift,163,1.8,1670,230,5,Stasjonsvogn,5,7,Personbil,2100,15845
125,340997492,2009,290000,Manuell,Bensin,Sølv,Forhjulsdrift,95,1.3,975,119,5,KombiFemdørs,5,2,Personbil,1000,18845
126,340933587,2007,201000,Automat,Diesel,Svart,Forhjulsdrift,105,1.9,1654,161,7,Flerbruksbil,5,12,Personbil,1500,16845
127,340896121,2002,166050,Manuell,Bensin,Sølv,Forhjulsdrift,98,1.6,1175,171,5,Stasjonsvogn,5,5,Personbil,1200,16845
128,340900915,2008,316000,Automat,Diesel,Svart,Forhjulsdrift,140,2.0,1519,165,5,Stasjonsvogn,5,3,Personbil,1800,15845
129,340900847,2010,144000,Manuell,Bensin,Sølv,Forhjulsdrift,69,1.0,890,118,5,KombiFemdørs,5,4,Personbil,750,16845
130,340898740,2008,253000,Manuell,Diesel,Svart,Forhjulsdrift,126,2.0,1465,155,5,Stasjonsvogn,5,3,Personbil,1300,18845
131,340856953,2007,286600,Automat,Diesel,Grønn,Forhjulsdrift,140,2.0,1674,178,5,Stasjonsvogn,5,9,Personbil,1800,19845
132,340896198,2004,158062,Manuell,Diesel,Blå,Forhjulsdrift,109,1.6,1317,129,5,Flerbruksbil,5,4,Personbil,1300,16845
133,340893802,2013,129000,Manuell,Bensin,Brun,Forhjulsdrift,101,1.0,1049,99,5,KombiFemdørs,5,9,Personbil,900,18172
134,340845252,2005,214650,Manuell,Bensin,Svart,Forhjulsdrift,80,1.4,1134,155,5,Stasjonsvogn,4,4,Personbil,900,18074
135,338070384,2005,238855,Manuell,Diesel,Sølv,Forhjulsdrift,109,1.6,1337,132,5,Stasjonsvogn,5,3,Personbil,1300,19845
136,340883353,2004,137125,Automat,Bensin,Grå,Forhjulsdrift,65,1.0,915,129,5,KombiFemdørs,4,8,Personbil,650,19074
137,340813059,2014,147000,Manuell,Diesel,Hvit,Forhjulsdrift,90,1.2,1365,126,2,Kasse,4,8,Varebil,1000,19476
138,340510645,2009,231000,Manuell,Diesel,Svart,Forhjulsdrift,110,2.0,1730,159,5,Stasjonsvogn,4,10,Personbil,1600,18845
139,340776952,2007,207400,Manuell,Diesel,Rød,Forhjulsdrift,109,1.6,1417,134,7,Flerbruksbil,5,2,Personbil,1300,18845
140,340727258,2007,186000,Manuell,Diesel,Svart,Forhjulsdrift,109,1.6,1642,148,5,Stasjonsvogn,4,5,Personbil,1300,15845
141,340727755,2007,420000,Automat,Diesel,Grå,Forhjulsdrift,163,2.4,1578,209,5,Stasjonsvogn,5,4,Personbil,1800,19845
142,340695667,2006,219000,Automat,Bensin,Sølv,Firehjulsdrift,140,2.0,1480,232,5,SUVOffroad,5,4,Personbil,1300,16845
143,340645047,2005,88700,Manuell,Bensin,Svart,Forhjulsdrift,60,1.0,1011,123,5,KombiFemdørs,4,9,Personbil,700,18000
144,331321828,2005,131024,Manuell,Bensin,Svart,Forhjulsdrift,58,1.1,935,143,5,KombiFemdørs,5,5,Personbil,1100,19777
145,340589727,2006,185996,Manuell,Diesel,Rød,Forhjulsdrift,90,1.4,1235,128,5,Stasjonsvogn,5,2,Personbil,1000,19845
146,340549718,2005,119478,Manuell,Diesel,Grå,Forhjulsdrift,75,1.4,950,117,5,KombiFemdørs,4,1,Personbil,900,17074
147,340476841,2005,282000,Manuell,Diesel,Svart,Forhjulsdrift,90,1.9,1432,140,5,KombiFemdørs,4,8,Personbil,1300,19845
148,340446601,2009,437919,Automat,Diesel,Grå,Forhjulsdrift,140,2.0,1597,187,5,Stasjonsvogn,4,5,Personbil,2000,17000
149,340372970,2004,186142,Manuell,Bensin,Beige,Forhjulsdrift,75,1.4,1188,176,5,Stasjonsvogn,5,7,Personbil,900,17777
150,340370278,2002,296000,Automat,Diesel,Blå,Bakhjulsdrift,163,2.5,1605,216,5,Sedan,5,15,Personbil,2090,16845
151,340336243,2005,137200,Manuell,Bensin,Sølv,Forhjulsdrift,140,1.7,1315,205,5,Stasjonsvogn,5,7,Personbil,1300,19995
