id,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Hjuldrift,Effekt,Vekt,AntallSeter,Karosseri,AntallDører,Avgiftsklasse,Maksimaltilhengervekt,SalePrice
53,341209806,2005,133500,Manuell,Bensin,Forhjulsdrift,64,1090,5,KombiFemdørs,5,Personbil,750,11845
54,341203941,2006,340000,Manuell,Diesel,Forhjulsdrift,140,1540,5,Sedan,4,Personbil,1600,11845
55,341050438,2001,204122,Manuell,Bensin,Forhjulsdrift,101,1255,5,Sedan,4,Personbil,1150,13845
56,340909672,2006,295054,Manuell,Diesel,Forhjulsdrift,125,1732,7,Flerbruksbil,4,Personbil,1400,13000
57,341155397,2008,166892,Manuell,Diesel,Forhjulsdrift,110,1385,5,KombiFemdørs,5,Personbil,1400,14000
58,341152281,2008,263751,Manuell,Diesel,Forhjulsdrift,109,1411,5,Stasjonsvogn,5,Personbil,1300,13845
59,341146104,2004,172500,Manuell,Bensin,Forhjulsdrift,98,1190,5,Stasjonsvogn,5,Personbil,1200,15000
60,341120830,2003,330000,Automat,Diesel,Bakhjulsdrift,150,1565,5,Sedan,4,Personbil,1900,13000
61,341109762,2008,149000,Manuell,Bensin,Forhjulsdrift,80,957,5,KombiFemdørs,5,Personbil,800,13074
62,331081371,2001,251500,Automat,Bensin,Firehjulsdrift,165,1690,5,Stasjonsvogn,5,Personbil,1840,11777
63,341064397,2008,291420,Manuell,Bensin,Firehjulsdrift,107,1265,5,KombiFemdørs,4,Personbil,1200,10845
64,341008601,1995,380000,Manuell,Diesel,Forhjulsdrift,77,1770,8,Flerbruksbil,4,Personbil,1770,13845
65,340996090,2006,350000,Automat,Diesel,Bakhjulsdrift,170,1735,5,Stasjonsvogn,5,Personbil,2100,13845
66,340998952,2006,243795,Manuell,Bensin,Forhjulsdrift,105,1240,5,Stasjonsvogn,5,Personbil,1100,14845
67,340966839,2000,275000,Manuell,Diesel,Firehjulsdrift,90,1845,3,Kasse,5,Varebil,2000,11231
68,260150419,1999,186325,Automat,Bensin,Bakhjulsdrift,224,1695,5,Sedan,4,Personbil,2100,11729
69,340932421,2002,317000,Manuell,Bensin,Forhjulsdrift,105,1215,5,Sedan,4,Personbil,1200,11845
70,340913122,2007,179000,Manuell,Diesel,Forhjulsdrift,136,1505,5,Sedan,4,Personbil,1900,10845
71,340895717,2004,188000,Manuell,Diesel,Forhjulsdrift,101,1639,5,Flerbruksbil,5,Personbil,1500,11845
72,340896181,1999,220000,Manuell,Bensin,Forhjulsdrift,101,1162,5,Sedan,4,Personbil,1200,13074
73,340782840,2008,257000,Manuell,Diesel,Forhjulsdrift,140,1470,5,Stasjonsvogn,5,Personbil,1600,14345
74,340881157,2007,238629,Automat,Diesel,Forhjulsdrift,109,1305,5,Flerbruksbil,4,Personbil,1500,12745
75,340883848,2011,200000,Manuell,Diesel,Forhjulsdrift,111,1615,2,Kasse,4,Varebil,1300,13231
76,340829486,2007,213000,Manuell,Bensin,Forhjulsdrift,102,1208,5,KombiFemdørs,5,Personbil,1200,14345
77,340812596,2002,292124,Manuell,Diesel,Forhjulsdrift,75,1090,5,Flerbruksbil,5,Personbil,900,13845
78,340805035,2006,198000,Manuell,Bensin,Forhjulsdrift,170,1717,5,Sedan,4,Personbil,1400,11845
79,340743831,2004,228036,Manuell,Bensin,Forhjulsdrift,116,1355,5,Stasjonsvogn,4,Personbil,1200,10845
80,340521678,2004,235000,Manuell,Bensin,Forhjulsdrift,102,1354,5,Stasjonsvogn,5,Personbil,1200,10845
81,340600507,2007,198000,Manuell,Diesel,Forhjulsdrift,90,1575,2,Kasse,3,Varebil,1200,11231
82,340557446,2009,352000,Automat,Diesel,Forhjulsdrift,140,1597,5,Stasjonsvogn,5,Personbil,2000,11845
83,333797999,2007,177000,Manuell,Diesel,Forhjulsdrift,75,1575,2,Kasse,4,Varebil,1200,11186
84,340339850,2006,226934,Manuell,Diesel,Forhjulsdrift,109,1341,5,Stasjonsvogn,4,Personbil,1300,11845
85,340344685,2005,78853,Manuell,Bensin,Forhjulsdrift,80,1101,5,KombiFemdørs,5,Personbil,900,13845
86,340316036,2002,210000,Automat,Diesel,Bakhjulsdrift,143,1470,5,Sedan,4,Personbil,1500,11845
87,340252602,2006,139543,Manuell,Diesel,Forhjulsdrift,69,1210,2,KombiFemdørs,5,Varebil,1000,11231
88,337270395,2011,287000,Manuell,Diesel,Forhjulsdrift,90,1135,5,Flerbruksbil,5,Personbil,800,13074
89,340160567,2008,270000,Automat,Bensin,Forhjulsdrift,120,1312,5,KombiFemdørs,5,Personbil,1520,13845
90,340114987,2007,126000,Manuell,Bensin,Forhjulsdrift,64,1176,5,KombiFemdørs,4,Personbil,800,12000
91,340064123,2006,242600,Manuell,Diesel,Forhjulsdrift,109,1492,5,Stasjonsvogn,5,Personbil,1300,11845
92,340070645,2008,214600,Manuell,Diesel,Forhjulsdrift,90,1326,5,KombiFemdørs,5,Personbil,1400,12000
93,268882640,2006,186000,Manuell,Bensin,Forhjulsdrift,102,1208,5,KombiFemdørs,5,Personbil,1000,10729
94,339971700,2010,213000,Manuell,Diesel,Forhjulsdrift,105,1465,5,Stasjonsvogn,5,Personbil,1400,11845
95,339611012,1999,205755,Manuell,Bensin,Forhjulsdrift,86,1065,5,Coupe,5,Personbil,1000,12845
96,339814746,2005,194000,Manuell,Diesel,Bakhjulsdrift,163,1430,5,Sedan,4,Personbil,1600,11845
97,339778227,2004,292000,Manuell,Bensin,Forhjulsdrift,129,1295,5,Stasjonsvogn,4,Personbil,1300,10845
98,337882443,2003,165352,Manuell,Bensin,Forhjulsdrift,109,1355,5,Stasjonsvogn,5,Personbil,1200,12845
99,335882879,2005,268709,Manuell,Diesel,Forhjulsdrift,136,1710,7,Flerbruksbil,4,Personbil,2000,11777
100,339737318,2007,190780,Manuell,Bensin,Forhjulsdrift,102,1308,5,Flerbruksbil,5,Personbil,1200,15000
101,339722924,2003,126000,Manuell,Bensin,Forhjulsdrift,75,1186,5,KombiFemdørs,5,Personbil,1000,13074
