,Finnkode,car_name,Link,Price
932,339217740,Toyota Corolla Verso,https://www.finn.no/car/used/ad.html?finnkode=339217740,27999.0
933,339382193,Volkswagen Transporter,https://www.finn.no/car/used/ad.html?finnkode=339382193,26231.0
935,339339827,Ford C-Max,https://www.finn.no/car/used/ad.html?finnkode=339339827,26745.0
938,339283448,Renault Clio,https://www.finn.no/car/used/ad.html?finnkode=339283448,29000.0
945,338954302,Hyundai H-1,https://www.finn.no/car/used/ad.html?finnkode=338954302,26931.0
949,338763515,Toyota Avensis,https://www.finn.no/car/used/ad.html?finnkode=338763515,29845.0
950,338750849,Ford Fiesta,https://www.finn.no/car/used/ad.html?finnkode=338750849,27672.0
952,316901358,Subaru Legacy,https://www.finn.no/car/used/ad.html?finnkode=316901358,29000.0
953,338635610,Volkswagen Caddy,https://www.finn.no/car/used/ad.html?finnkode=338635610,29731.0
954,338629806,Opel Vivaro,https://www.finn.no/car/used/ad.html?finnkode=338629806,29000.0
956,338609572,Ford Fiesta,https://www.finn.no/car/used/ad.html?finnkode=338609572,29900.0
959,337603863,Peugeot 206,https://www.finn.no/car/used/ad.html?finnkode=337603863,29000.0
960,338523667,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=338523667,28845.0
966,338406501,Mercedes-Benz E-Klasse,https://www.finn.no/car/used/ad.html?finnkode=338406501,26845.0
969,338377450,Citroen DS3,https://www.finn.no/car/used/ad.html?finnkode=338377450,29845.0
970,338340447,Chevrolet Nubira,https://www.finn.no/car/used/ad.html?finnkode=338340447,29845.0
971,338345595,Toyota Yaris,https://www.finn.no/car/used/ad.html?finnkode=338345595,29900.0
973,338302534,Volvo V70,https://www.finn.no/car/used/ad.html?finnkode=338302534,26845.0
974,338296363,Fiat Panda,https://www.finn.no/car/used/ad.html?finnkode=338296363,29845.0
976,338225534,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=338225534,29845.0
977,338201682,Volvo V70,https://www.finn.no/car/used/ad.html?finnkode=338201682,26845.0
982,323426906,Hyundai i10,https://www.finn.no/car/used/ad.html?finnkode=323426906,30000.0
984,333412341,Ford Focus,https://www.finn.no/car/used/ad.html?finnkode=333412341,27147.0
986,338026378,BMW 3-serie,https://www.finn.no/car/used/ad.html?finnkode=338026378,26845.0
987,337843445,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=337843445,29345.0
991,337700115,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=337700115,29000.0
993,325991572,Volvo S60,https://www.finn.no/car/used/ad.html?finnkode=325991572,26777.0
995,222203034,Skoda Superb,https://www.finn.no/car/used/ad.html?finnkode=222203034,28982.0
1001,337338494,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=337338494,29845.0
1002,334779197,Chevrolet Nubira,https://www.finn.no/car/used/ad.html?finnkode=334779197,27845.0
1006,336732663,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=336732663,26835.0
1007,336726071,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=336726071,26845.0
1009,336343361,Subaru Forester,https://www.finn.no/car/used/ad.html?finnkode=336343361,29700.0
1011,335416171,Hyundai i20,https://www.finn.no/car/used/ad.html?finnkode=335416171,26845.0
1012,336197408,Honda Civic,https://www.finn.no/car/used/ad.html?finnkode=336197408,29800.0
1023,333595576,Peugeot Partner,https://www.finn.no/car/used/ad.html?finnkode=333595576,29000.0
1040,330734964,Volkswagen Touran,https://www.finn.no/car/used/ad.html?finnkode=330734964,29777.0
1042,329996169,Renault Megane,https://www.finn.no/car/used/ad.html?finnkode=329996169,29777.0
1049,328495598,Alfa Romeo 159,https://www.finn.no/car/used/ad.html?finnkode=328495598,29777.0
1066,316582432,Nissan Pixo,https://www.finn.no/car/used/ad.html?finnkode=316582432,29000.0
1070,315454245,Renault Megane,https://www.finn.no/car/used/ad.html?finnkode=315454245,29900.0
1105,341498999,Mazda 5,https://www.finn.no/car/used/ad.html?finnkode=341498999,31845.0
1107,341240527,Volkswagen Golf,https://www.finn.no/car/used/ad.html?finnkode=341240527,31845.0
1108,341475532,Audi A3,https://www.finn.no/car/used/ad.html?finnkode=341475532,34845.0
1111,339868920,Volkswagen Caddy,https://www.finn.no/car/used/ad.html?finnkode=339868920,33231.0
1112,341454617,Opel Insignia,https://www.finn.no/car/used/ad.html?finnkode=341454617,31745.0
1113,341448771,Ford Fiesta,https://www.finn.no/car/used/ad.html?finnkode=341448771,31074.0
1115,341443943,Volvo V50,https://www.finn.no/car/used/ad.html?finnkode=341443943,33845.0
