,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,Årsavgift,1. gang registrert,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2-utslipp,Antall seter,Karosseri,Antall dører,Antall eiere,Bilen står i,Salgsform,Avgiftsklasse,Reg.nr.,Chassis nr. (VIN),Maksimal tilhengervekt
1278,339622546,2010,104 792 km,Manuell,Bensin,Fritatt (avgifter),Les mer,23.11.2009,Sølv,Bakhjulsdrift,64 Hk,"1,1 l",855 kg,114 g/km,5,Kombi 5-dørs,4,5,Norge,Bruktbil til salgs,Personbil,JD54047,KNABK513AAT845858,700 kg
1279,339583824,2009,241 000 km,Manuell,Diesel,1 231 kr (avgifter),Les mer,31.08.2009,Hvit,Forhjulsdrift,90 Hk,"1,6 l",1 480 kg,153 g/km,3,Stasjonsvogn,3,3,Norge,Bruktbil til salgs,Varebil,DN24800,VF37F9HXC9J179592,950 kg
1284,338965126,2005,254 184 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,07.07.2005,Sølv,Firehjulsdrift,109 Hk,2 l,1 860 kg,216 g/km,5,SUV/Offroad,5,2,Norge,Bruktbil til salgs,Personbil,PX46504,JSAHTX83V00310031,1 850 kg
1286,339454951,2008,192 652 km,Manuell,Bensin,1 825 kr (avgifter),Les mer,17.09.2008,Beige,Forhjulsdrift,95 Hk,"1,3 l",1 050 kg,143 g/km,5,Kombi 5-dørs,4,2,Norge,Bruktbil til salgs,Personbil,BD60281,XMCXNZ34A8F064477,1 000 kg
1288,339399913,2006,230 000 km,Manuell,Diesel,Fritatt (avgifter),Les mer,07.05.2009,Svart,Forhjulsdrift,140 Hk,2 l,1 490 kg,167 g/km,5,Stasjonsvogn,4,8,Norge,Bruktbil til salgs,Personbil,BR75764,WAUZZZ8E36A230391,1 600 kg
1290,339331937,2005,196 000 km,Manuell,Bensin,1 845 kr (avgifter),Les mer,26.07.2005,Svart,Forhjulsdrift,129 Hk,"1,8 l",1 270 kg,171 g/km,5,Sedan,4,5,Norge,Bruktbil til salgs,Personbil,RJ47708,SB1BR56L10E123889,1 300 kg
1297,339047557,2010,154 940 km,Manuell,Diesel,3 074 kr (avgifter),Les mer,14.01.2011,Blå,Forhjulsdrift,95 Hk,"1,6 l",1 043 kg,107 g/km,5,Kombi 5-dørs,5,4,Norge,Bruktbil til salgs,Personbil,BD69468,WF0JXXGAJJAG76530,750 kg
1298,339078749,2012,95 000 km,Manuell,Bensin,4 672 kr (avgifter),Les mer,08.04.2013,Svart,Forhjulsdrift,99 Hk,"1,4 l",1 185 kg,143 g/km,5,Kombi 5-dørs,5,3,Norge,Bruktbil til salgs,Personbil,PR18154,TMAD351AAEJ079892,1 200 kg
1302,339005762,2005,345 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,10.04.2006,Sølv,Forhjulsdrift,131 Hk,"2,4 l",1 553 kg,171 g/km,5,Stasjonsvogn,5,5,Norge,Bruktbil til salgs,Personbil,FT18315,YV1SW746252469319,1 800 kg
1308,338785581,2008,103 800 km,Manuell,Bensin,3 000 kr (avgifter),Les mer,05.04.2022,Sølv,Forhjulsdrift,97 Hk,"1,4 l",1 188 kg,141 g/km,5,Kombi 5-dørs,4,4,Norge,Bruktbil til salgs,Personbil,CF46584,KMHBU51DP8U729091,1 000 kg
1309,338782567,2009,203 000 km,Manuell,Diesel,1 231 kr (avgifter),Les mer,15.10.2009,Hvit,Forhjulsdrift,90 Hk,"1,6 l",1 700 kg,191 g/km,3,Kombi 5-dørs,4,9,Norge,Bruktbil til salgs,Varebil,DN26493,VF3XT9HUC64142290,1 472 kg
1310,338598859,2006,119 000 km,Manuell,Bensin,1 845 kr (avgifter),Les mer,24.11.2005,Svart,Forhjulsdrift,64 Hk,"1,2 l",1 185 kg,144 g/km,5,Kombi 5-dørs,4,4,Norge,Bruktbil til salgs,Personbil,RJ51002,WVWZZZ9NZ6Y125519,800 kg
1311,329409941,2004,242 500 km,Manuell,Diesel,1 777 kr (avgifter),Les mer,08.01.2004,Sølv,Forhjulsdrift,105 Hk,"1,9 l",1 443 kg,140 g/km,5,Kombi 5-dørs,4,2,Norge,Bruktbil til salgs,Personbil,JD34293,WVWZZZ1KZ4W029881,1 400 kg
1312,338678412,2006,247 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,27.01.2006,Blå,Forhjulsdrift,101 Hk,"1,9 l",1 900 kg,210 g/km,9,Kombi 5-dørs,4,16,Norge,Bruktbil til salgs,Personbil,XK13682,W0LJ7BCB66V621662,2 000 kg
1315,338641789,2008,196 100 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,12.03.2008,Blå,Forhjulsdrift,69 Hk,"1,4 l",1 230 kg,137 g/km,5,SUV/Offroad,4,9,Norge,Bruktbil til salgs,Personbil,VF96255,WVWZZZ9NZ8Y147579,800 kg
1319,338434168,2010,155 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,29.10.2010,Rød,Forhjulsdrift,90 Hk,"1,6 l",1 395 kg,115 g/km,5,Kombi 5-dørs,5,7,Norge,Bruktbil til salgs,Personbil,KH72221,ZFA19800004294630,1 300 kg
1324,329440967,2008,268 000 km,Manuell,Diesel,1 186 kr (avgifter),Les mer,08.12.2008,Grå,Forhjulsdrift,120 Hk,2 l,1 840 kg,198 g/km,2,Kasse,5,8,Norge,Bruktbil til salgs,Varebil,RJ92334,VF3XDRHKH64038370,2 000 kg
1327,336666520,2010,223 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,11.10.2010,Svart,Forhjulsdrift,105 Hk,"1,9 l",1 482 kg,140 g/km,5,Flerbruksbil,5,3,Norge,Bruktbil til salgs,Personbil,VX35883,WVGZZZ1TZAW107417,1 200 kg
1330,338025287,2012,150 000 km,Manuell,Diesel,4 672 kr (avgifter),Les mer,08.11.2012,Sølv,Forhjulsdrift,75 Hk,"1,1 l",1 116 kg,94 g/km,5,Kombi 5-dørs,5,2,Norge,Bruktbil til salgs,Personbil,PX56900,KNADN515AC6733550,800 kg
1331,337583192,2012,133 000 km,Manuell,Bensin,4 305 kr (avgifter),Les mer,29.11.2012,Brun,Forhjulsdrift,125 Hk,1 l,1 371 kg,117 g/km,5,Stasjonsvogn,4,10,Norge,Bruktbil til salgs,Personbil,BS58923,WF0LXXGCBLCY81091,1 200 kg
1338,337688187,2009,278 477 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,16.04.2009,Beige,Forhjulsdrift,105 Hk,"1,9 l",1 400 kg,137 g/km,5,Stasjonsvogn,5,4,Norge,Bruktbil til salgs,Personbil,SU73117,TMBGS61Z692046085,1 400 kg
1339,335786904,2007,320 000 km,Automat,Diesel,500 kr (avgifter),Les mer,15.02.2007,Grå,Forhjulsdrift,105 Hk,"1,9 l",1 613 kg,161 g/km,5,Flerbruksbil,5,11,Norge,Bruktbil til salgs,Personbil,PD22381,WVGZZZ1TZ7W036466,1 500 kg
1340,337623134,2007,227 426 km,Manuell,Bensin,1 845 kr (avgifter),Les mer,07.11.2006,Rød,Forhjulsdrift,170 Hk,"1,4 l",1 442 kg,173 g/km,5,Kombi 5-dørs,4,9,Norge,Bruktbil til salgs,Personbil,SU36645,WVWZZZ1KZ7W082576,1 400 kg
1343,329958097,2009,284 420 km,Manuell,Bensin,Fritatt (avgifter),Les mer,29.04.2009,Blå,Forhjulsdrift,99 Hk,"1,3 l",1 071 kg,128 g/km,5,Kombi 5-dørs,5,6,Norge,Bruktbil til salgs,Personbil,RA42085,JHMGE67409S209341,1 000 kg
1344,337485275,2007,105 400 km,Manuell,Diesel,Fritatt (avgifter),Les mer,31.08.2007,Grå,Forhjulsdrift,88 Hk,"1,5 l",1 187 kg,118 g/km,5,Coupe,4,6,Norge,Bruktbil til salgs,Personbil,PX49771,KMHBU51VP7U696815,1 100 kg
1348,337335304,2007,286 596 km,Automat,Diesel,1 845 kr (avgifter),Les mer,25.08.2006,Sølv,Firehjulsdrift,179 Hk,"2,7 l",1 875 kg,227 g/km,5,Stasjonsvogn,5,2,Norge,Bruktbil til salgs,Personbil,SU33495,WAUZZZ4F87N038330,1 900 kg
1349,337331919,2007,321 655 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,20.10.2006,Sølv,Forhjulsdrift,140 Hk,2 l,1 685 kg,163 g/km,5,Stasjonsvogn,4,11,Norge,Bruktbil til salgs,Personbil,PD20806,WAUZZZ4F07N055977,1 600 kg
1351,337257544,2004,268 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,16.02.2007,Blå,Forhjulsdrift,136 Hk,2 l,1 600 kg,162 g/km,7,Flerbruksbil,5,4,Norge,Bruktbil til salgs,Personbil,NF25825,WVGZZZ1TZ4W023389,1 500 kg
1358,336933150,2000,141 000 km,Manuell,Bensin,3 074 kr (avgifter),Les mer,19.06.2000,Svart,Forhjulsdrift,101 Hk,"1,6 l",1 117 kg,187 g/km,5,Kombi 5-dørs,5,3,Norge,Bruktbil til salgs,Personbil,VF35988,WVWZZZ1JZYW740400,1 200 kg
1360,334661337,2006,131 900 km,Manuell,Bensin,1 777 kr (avgifter),Les mer,27.01.2006,Sølv,Forhjulsdrift,95 Hk,"1,5 l",1 225 kg,158 g/km,5,Flerbruksbil,5,7,Norge,Bruktbil til salgs,Personbil,DL28054,WDD2452311J041725,1 000 kg
1361,335614779,2011,222 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,01.04.2011,Svart,Forhjulsdrift,75 Hk,"1,2 l",1 057 kg,99 g/km,5,Kombi 5-dørs,5,5,Norge,Bruktbil til salgs,Personbil,PP94402,WVWZZZ6RZBY024426,1 000 kg
1362,336568411,2004,201 600 km,Manuell,Bensin,1 845 kr (avgifter),Les mer,13.10.2003,Rød,Forhjulsdrift,110 Hk,"1,6 l",1 190 kg,172 g/km,5,Stasjonsvogn,5,4,Norge,Bruktbil til salgs,Personbil,CF24113,NMTEZ20E80R045721,1 300 kg
1363,336483271,2011,275 500 km,Manuell,Diesel,1 777 kr (avgifter),Les mer,31.08.2010,Svart,Firehjulsdrift,105 Hk,"1,6 l",1 400 kg,141 g/km,5,Stasjonsvogn,4,5,Norge,Bruktbil til salgs,Personbil,BD68137,TMBKT61Z4B2021778,1 600 kg
1367,336302480,2010,172 800 km,Manuell,Bensin,1 845 kr (avgifter),Les mer,30.03.2010,Sølv,Forhjulsdrift,60 Hk,"1,2 l",1 054 kg,127 g/km,5,Kombi 5-dørs,5,3,Norge,Bruktbil til salgs,Personbil,PP87776,WF0JXXGAJJAY20190,500 kg
1368,336286393,2006,238 200 km,Automat,Bensin,1 845 kr (avgifter),Les mer,07.11.2006,Sølv,Bakhjulsdrift,143 Hk,"1,8 l",1 555 kg,203 g/km,5,Stasjonsvogn,5,8,Norge,Bruktbil til salgs,Personbil,FT20524,WDB2032461F795390,1 500 kg
1371,336107456,2004,134 768 km,Manuell,Bensin,1 845 kr (avgifter),Les mer,02.03.2004,Grønn,Forhjulsdrift,110 Hk,"1,6 l",1 155 kg,168 g/km,5,Kombi 5-dørs,5,3,Norge,Bruktbil til salgs,Personbil,VF59797,JTDKZ20E700050304,1 300 kg
1373,336015704,2007,196 000 km,Manuell,Diesel,1 777 kr (avgifter),Les mer,28.02.2008,Grå,Forhjulsdrift,90 Hk,"1,6 l",1 352 kg,118 g/km,5,Annet,4,8,Norge,Bruktbil til salgs,Personbil,RJ83038,WF0PXXGCDP7P42999,1 200 kg
1374,323843387,2004,329 000 km,Manuell,Diesel,Fritatt (avgifter),Les mer,19.09.2007,Sølv,Bakhjulsdrift,116 Hk,2 l,1 550 kg,173 g/km,7,Sedan,4,1,Norge,Bruktbil til salgs,Personbil,BR55113,JTEGG22B205020673,1 500 kg
1377,335492615,2002,235 000 km,Manuell,Bensin,1 777 kr (avgifter),Les mer,03.02.2002,Sølv,Forhjulsdrift,140 Hk,"2,4 l",1 459 kg,205 g/km,5,Sedan,4,3,Norge,Bruktbil til salgs,Personbil,SD63560,00000020093610117,1 800 kg
1382,327691876,2009,265 755 km,Automat,Bensin,1 777 kr (avgifter),Les mer,22.07.2008,Svart,Forhjulsdrift,160 Hk,"1,8 l",1 510 kg,175 g/km,5,Stasjonsvogn,5,6,Norge,Bruktbil til salgs,Personbil,AS18852,WAUZZZ8K19A043418,1 300 kg
1384,334785996,2003,164 825 km,Manuell,Bensin,1 777 kr (avgifter),Les mer,22.04.2003,Blå,Forhjulsdrift,97 Hk,"1,4 l",1 160 kg,159 g/km,5,Kombi 5-dørs,4,8,Norge,Bruktbil til salgs,Personbil,DK57914,JTDKM28E100014353,1 000 kg
1388,333562250,2009,76 700 km,Manuell,Bensin,1 777 kr (avgifter),Les mer,18.09.2009,Grå,Forhjulsdrift,75 Hk,"1,3 l",1 025 kg,125 g/km,5,Kombi 3-dørs,3,5,Norge,Bruktbil til salgs,Personbil,KH64942,JMZDE13K200118525,900 kg
1391,333911484,2011,233 466 km,Manuell,Diesel,1 777 kr (avgifter),Les mer,14.12.2011,Hvit,Firehjulsdrift,147 Hk,2 l,1 550 kg,158 g/km,5,Stasjonsvogn,5,6,Norge,Bruktbil til salgs,Personbil,CF62365,JF1SHNLZ3BG243436,2 000 kg
1392,333232228,2012,91 555 km,Manuell,Diesel,1 777 kr (avgifter),Les mer,21.12.2012,Blå,Forhjulsdrift,75 Hk,"1,4 l",1 127 kg,110 g/km,5,Kombi 5-dørs,4,10,Norge,Bruktbil til salgs,Personbil,KT84914,NLHBC51RABZ032160,1 100 kg
1393,322702259,2011,164 000 km,Manuell,Diesel,1 777 kr (avgifter),Les mer,28.12.2011,Grå,Forhjulsdrift,92 Hk,"1,6 l",1 277 kg,110 g/km,5,Sedan,4,6,Norge,Bruktbil til salgs,Personbil,PP99081,VF3WC9HP0BT039358,1 150 kg
1394,323974694,2008,244 000 km,Manuell,Bensin,1 777 kr (avgifter),Les mer,19.06.2008,Blå,Forhjulsdrift,87 Hk,"1,3 l",1 020 kg,141 g/km,5,Kombi 5-dørs,5,4,Norge,Bruktbil til salgs,Personbil,UF39080,VNKKL96340A154265,900 kg
1397,331547641,2008,208 565 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,28.01.2008,Sølv,Forhjulsdrift,90 Hk,"1,4 l",1 280 kg,132 g/km,5,Kombi 5-dørs,4,4,Norge,Bruktbil til salgs,Personbil,NF31722,SB1KC56E60F025194,1 000 kg
1400,330861146,2007,230 750 km,Manuell,Bensin,1 777 kr (avgifter),Les mer,10.04.2007,Grå,Forhjulsdrift,102 Hk,"1,6 l",1 320 kg,171 g/km,5,Kombi 5-dørs,4,7,Norge,Bruktbil til salgs,Personbil,KH48400,WAUZZZ8P37A139494,1 200 kg
1409,324967373,2005,168 000 km,Manuell,Diesel,1 777 kr (avgifter),Les mer,16.02.2005,Sølv,Firehjulsdrift,111 Hk,2 l,1 685 kg,187 g/km,5,SUV/Offroad,4,4,Norge,Bruktbil til salgs,Personbil,DK90474,KMHJN81VP5U098677,1 600 kg
1414,321478238,2006,213 500 km,Manuell,Diesel,Fritatt (avgifter),Les mer,30.10.2006,Blå,Forhjulsdrift,125 Hk,"1,8 l",1 661 kg,164 g/km,7,Flerbruksbil,5,3,Norge,Bruktbil til salgs,Personbil,DL47486,WF0SXXGBWS6R25983,1 450 kg
1415,320602923,2007,211 349 km,Manuell,Bensin,Fritatt (avgifter),Les mer,12.07.2007,Svart,Forhjulsdrift,116 Hk,"1,6 l",1 544 kg,181 g/km,4,Cabriolet,2,5,Norge,Bruktbil til salgs,Personbil,SU48920,WVWZZZ1FZ7V027699,1 300 kg
1417,315183382,2009,220 000 km,Manuell,Diesel,1 777 kr (avgifter),Les mer,05.01.2009,Grå,Forhjulsdrift,109 Hk,"1,6 l",1 406 kg,132 g/km,5,Stasjonsvogn,4,10,Norge,Bruktbil til salgs,Personbil,RJ92711,YV1MW765292472823,1 300 kg
1419,314320823,2010,263 684 km,Automat,Diesel,1 777 kr (avgifter),Les mer,07.07.2010,Sølv,Forhjulsdrift,109 Hk,2 l,1 470 kg,146 g/km,5,Stasjonsvogn,4,8,Norge,Bruktbil til salgs,Personbil,DN43890,WDD2452071J609691,1 500 kg
1449,341091513,2006,141 613 km,Manuell,Bensin,1 777 kr (avgifter),Les mer,20.11.2006,Blå,Forhjulsdrift,69 Hk,1 l,995 kg,127 g/km,5,Kombi 3-dørs,2,6,Norge,Bruktbil til salgs,Personbil,CF39753,JTDJG963905034883,750 kg
1451,341509912,2008,508 000 km,Automat,Diesel,1 845 kr (avgifter),Les mer,07.04.2009,Blå,Bakhjulsdrift,150 Hk,"2,1 l",1 740 kg,231 g/km,9,Flerbruksbil,6,6,Norge,Bruktbil til salgs,Personbil,XN34966,WDF63970313438229,2 000 kg
1452,341504335,2008,343 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,10.08.2007,Sølv,Forhjulsdrift,126 Hk,"2,4 l",1 622 kg,172 g/km,5,Stasjonsvogn,5,4,Norge,Bruktbil til salgs,Personbil,HZ26619,YV1SW814282680211,1 800 kg
1453,341499175,2007,164 367 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,05.11.2007,Sølv,Firehjulsdrift,140 Hk,2 l,1 625 kg,177 g/km,5,SUV/Offroad,5,9,Norge,Bruktbil til salgs,Personbil,YK21759,JMBXJCW8W7Z905627,2 000 kg
1454,341490987,2008,308 070 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,01.07.2008,Svart,Firehjulsdrift,140 Hk,2 l,1 605 kg,173 g/km,5,Stasjonsvogn,4,13,Norge,Bruktbil til salgs,Personbil,VF98672,TMBKE61Z688032538,1 600 kg
1455,341488872,2007,260 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,22.02.2007,Svart,Forhjulsdrift,105 Hk,"1,9 l",1 410 kg,132 g/km,5,Annet,4,6,Norge,Bruktbil til salgs,Personbil,LY63219,WAUZZZ8P37A156764,1 400 kg
1459,341471896,2009,217 219 km,Automat,Diesel,1 845 kr (avgifter),Les mer,15.10.2008,Sølv,Forhjulsdrift,120 Hk,"1,9 l",1 575 kg,194 g/km,7,Kombi 5-dørs,4,5,Norge,Bruktbil til salgs,Personbil,DN10138,W0L0AHM759G017860,1 400 kg
1460,341469020,2008,169 405 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,05.05.2008,Svart,Forhjulsdrift,109 Hk,"1,6 l",1 334 kg,132 g/km,5,Stasjonsvogn,5,3,Norge,Bruktbil til salgs,Personbil,BR65728,YV1MW765282424106,1 300 kg
1461,341459865,2011,143 898 km,Manuell,Bensin,1 845 kr (avgifter),Les mer,25.01.2011,Grå,Forhjulsdrift,86 Hk,"1,4 l",1 029 kg,139 g/km,5,Kombi 5-dørs,5,4,Norge,Bruktbil til salgs,Personbil,AS27166,TMBEC65J2B3112270,1 000 kg
1462,341448774,2011,166 500 km,Manuell,Diesel,Fritatt (avgifter),Les mer,09.05.2011,Svart,Forhjulsdrift,116 Hk,"1,6 l",1 377 kg,117 g/km,5,Kombi 5-dørs,4,5,Norge,Bruktbil til salgs,Personbil,PP94744,JMZBLA4Y601242927,1 300 kg
1463,341454071,2005,192 790 km,Manuell,Bensin,1 845 kr (avgifter),Les mer,24.08.2004,Grå,Forhjulsdrift,125 Hk,"1,8 l",1 280 kg,172 g/km,5,Sedan,4,6,Norge,Bruktbil til salgs,Personbil,ST93919,YV1MS214252059428,1 300 kg
1467,316032938,2010,260 000 km,Manuell,Diesel,1 777 kr (avgifter),Les mer,24.11.2010,Blå,Forhjulsdrift,116 Hk,2 l,1 615 kg,152 g/km,7,Flerbruksbil,5,2,Norge,Bruktbil til salgs,Personbil,NV62631,WF0SXXGBWSAP59393,1 800 kg
1469,341437634,2004,176 470 km,Manuell,Bensin,1 845 kr (avgifter),Les mer,10.12.2004,Grå,Firehjulsdrift,128 Hk,2 l,1 355 kg,230 g/km,5,SUV/Offroad,5,8,Norge,Bruktbil til salgs,Personbil,KH32161,JSAFTL52V00215322,1 850 kg
1471,341415163,2007,207 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,08.02.2007,Svart,Forhjulsdrift,105 Hk,"1,9 l",1 477 kg,153 g/km,5,Stasjonsvogn,5,2,Norge,Bruktbil til salgs,Personbil,AX93352,WVWZZZ3CZ7E117101,1 500 kg
1474,341406491,2004,242 000 km,Automat,Diesel,1 845 kr (avgifter),Les mer,06.02.2006,Svart,Bakhjulsdrift,150 Hk,"2,1 l",1 735 kg,197 g/km,5,Stasjonsvogn,5,7,Norge,Bruktbil til salgs,Personbil,AJ61154,WDB2112061A701341,2 100 kg
1477,336876808,2007,269 000 km,Automat,Diesel,Fritatt (avgifter),Les mer,13.05.2008,Blå,Bakhjulsdrift,150 Hk,"2,1 l",1 535 kg,192 g/km,5,Stasjonsvogn,5,11,Norge,Bruktbil til salgs,Personbil,CF46628,WDB2032081F939788,1 500 kg
1478,341389446,2009,172 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,22.12.2009,Svart,Forhjulsdrift,90 Hk,"1,6 l",1 277 kg,119 g/km,5,Kombi 5-dørs,5,4,Norge,Bruktbil til salgs,Personbil,DP38789,VF7SH9HXC9T577156,1 200 kg
1480,341389373,2006,255 420 km,Manuell,Diesel,Fritatt (avgifter),Les mer,13.08.2009,Sølv,Firehjulsdrift,136 Hk,"2,2 l",1 530 kg,206 g/km,5,SUV/Offroad,4,6,Norge,Bruktbil til salgs,Personbil,KH63986,JN1TENT30U0326967,2 000 kg
1484,341380867,2006,247 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,03.06.2011,Svart,Forhjulsdrift,140 Hk,2 l,1 731 kg,172 g/km,7,Flerbruksbil,5,4,Norge,Bruktbil til salgs,Personbil,RK31967,WF0MXXGBWM6A63972,1 700 kg
1487,341365384,2008,184 944 km,Manuell,Diesel,3 074 kr (avgifter),Les mer,20.10.2008,Rød,Forhjulsdrift,109 Hk,"1,6 l",1 165 kg,104 g/km,4,Coupe,2,8,Norge,Bruktbil til salgs,Personbil,DL99382,WMWMG31010TU59899,750 kg
1488,341359726,2007,129 890 km,Manuell,Bensin,1 845 kr (avgifter),Les mer,02.02.2007,Sølv,Forhjulsdrift,95 Hk,"1,5 l",1 225 kg,148 g/km,5,Kombi 5-dørs,4,7,Norge,Bruktbil til salgs,Personbil,RJ66879,WDD1690311J374860,1 000 kg
1489,341359146,2003,203 000 km,Automat,Bensin,1 845 kr (avgifter),Les mer,22.12.2006,Svart,Bakhjulsdrift,272 Hk,"3,6 l",1 860 kg,259 g/km,5,Sedan,4,20,Norge,Bruktbil til salgs,Personbil,BR41908,WBAGL41080DL94042,2 100 kg
1491,341353529,2008,218 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,15.10.2007,Sølv,Forhjulsdrift,150 Hk,"1,9 l",1 705 kg,184 g/km,5,Stasjonsvogn,5,8,Norge,Bruktbil til salgs,Personbil,DL73341,YS3EF55W683502514,1 800 kg
1492,341357900,2012,116 700 km,Manuell,Bensin,1 845 kr (avgifter),Les mer,13.04.2012,Grå,Forhjulsdrift,69 Hk,"1,2 l",1 163 kg,119 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,BU37636,W0L0SDL68C4033958,850 kg
1494,341346174,2008,245 500 km,Automat,Bensin,1 845 kr (avgifter),Les mer,18.04.2008,Grå,Forhjulsdrift,143 Hk,"1,8 l",1 425 kg,188 g/km,5,Sedan,4,10,Norge,Bruktbil til salgs,Personbil,CV51173,JMBSTCY3A8U003964,1 300 kg
1495,340115835,2005,245 574 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,06.10.2004,Svart,Firehjulsdrift,140 Hk,2 l,1 450 kg,165 g/km,5,Kombi 5-dørs,5,8,Norge,Bruktbil til salgs,Personbil,UR78856,WVWZZZ1KZ5W062386,1 600 kg
1496,341325788,2007,217 400 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,23.02.2007,Svart,Forhjulsdrift,90 Hk,"1,4 l",1 235 kg,128 g/km,5,Stasjonsvogn,5,3,Norge,Bruktbil til salgs,Personbil,LY63068,NMTEC20EX0R040800,1 000 kg
1497,341307774,2012,231 000 km,Automat,Diesel,4 672 kr (avgifter),Les mer,30.01.2012,Sølv,Forhjulsdrift,68 Hk,"1,4 l",1 155 kg,87 g/km,5,Kombi 5-dørs,4,9,Norge,Bruktbil til salgs,Personbil,DN79374,VF7SC8HP4BA633576,950 kg
1498,330095896,2009,278 216 km,Automat,Diesel,1 777 kr (avgifter),Les mer,30.03.2010,Grå,Forhjulsdrift,170 Hk,2 l,1 522 kg,163 g/km,5,Stasjonsvogn,5,5,Norge,Bruktbil til salgs,Personbil,JD55354,WVWZZZ3CZ9E027486,1 800 kg
1501,316612584,2010,229 120 km,Automat,Diesel,1 777 kr (avgifter),Les mer,22.10.2009,Grå,Forhjulsdrift,116 Hk,"1,6 l",1 509 kg,151 g/km,5,Stasjonsvogn,5,6,Norge,Bruktbil til salgs,Personbil,ZT45049,U5YHC816BAL124230,1 300 kg
1503,341291597,2003,340 000 km,Automat,Bensin,1 845 kr (avgifter),Les mer,16.01.2003,Blå,Firehjulsdrift,272 Hk,"2,9 l",2 117 kg,309 g/km,7,SUV/Offroad,5,12,Norge,Bruktbil til salgs,Personbil,BD33659,YV1CZ91G831008452,2 250 kg
1504,341283906,2007,239 800 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,03.05.2006,Grønn,Firehjulsdrift,136 Hk,"2,5 l",1 900 kg,228 g/km,4,Pickup,2,3,Norge,Bruktbil til salgs,Personbil,JD42805,MMBCNKB407D009875,2 700 kg
1506,341280937,2009,293 500 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,29.11.2011,Svart,Forhjulsdrift,143 Hk,2 l,1 520 kg,143 g/km,5,Stasjonsvogn,5,4,Norge,Bruktbil til salgs,Personbil,BS33562,WAUZZZ8K79A072177,1 600 kg
1511,341270752,2014,245 662 km,Manuell,Diesel,1 476 kr (avgifter),Les mer,22.12.2014,Hvit,Forhjulsdrift,101 Hk,"2,2 l",1 881 kg,183 g/km,3,Kasse,4,7,Norge,Bruktbil til salgs,Varebil,SV56948,WF0YXXTTGYEA21190,2 350 kg
1513,341270538,2006,242 400 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,16.06.2006,Grå,Forhjulsdrift,90 Hk,"1,4 l",1 205 kg,128 g/km,5,Kombi 5-dørs,5,3,Norge,Bruktbil til salgs,Personbil,RJ58724,SB1KC20E40F037593,1 000 kg
1514,337159638,2007,192 300 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,12.07.2006,Sølv,Forhjulsdrift,116 Hk,"1,9 l",1 525 kg,154 g/km,5,Stasjonsvogn,4,10,Norge,Bruktbil til salgs,Personbil,BR33870,WAUZZZ8E57A023731,1 500 kg
1519,341252022,2009,178 000 km,Manuell,Diesel,1 845 kr (avgifter),Les mer,14.09.2009,Sølv,Firehjulsdrift,140 Hk,2 l,1 570 kg,175 g/km,5,SUV/Offroad,4,10,Norge,Bruktbil til salgs,Personbil,BD63950,1J8FFC8Y19D139251,1 425 kg
1520,341251619,2007,172 500 km,Automat,Bensin,1 845 kr (avgifter),Les mer,16.10.2006,Blå,Forhjulsdrift,102 Hk,"1,6 l",1 461 kg,204 g/km,5,Kombi 5-dørs,5,2,Norge,Bruktbil til salgs,Personbil,BR37969,WVWZZZ1KZ7W532642,1 200 kg
1529,317051166,2001,263 000 km,Manuell,Bensin,1 777 kr (avgifter),Les mer,19.07.2005,Sølv,Forhjulsdrift,150 Hk,2 l,1 320 kg,213 g/km,5,Coupe,3,3,Norge,Bruktbil til salgs,Personbil,DL18151,YS3DF35C312034968,1 600 kg
