,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,Årsavgift,1. gang registrert,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2-utslipp,Antall seter,Karosseri,Antall dører,Antall eiere,Bilen står i,Salgsform,Avgiftsklasse,Reg.nr.,Chassis nr. (VIN),Maksimal tilhengervekt
7668,342025693,2020,99 492 km,Manuell,Diesel,2 336 kr (avgifter),Les mer,18.11.2021,Grå,Forhjulsdrift,130 Hk,2 l,2 001 kg,166 g/km,3,Kasse,4,2,Norge,Bruktbil til salgs,Varebil,XR70192,WF0YXXTTGYLK73644,2 500 kg
7690,342009169,2020,26 900 km,Automat,El + Diesel,4 305 kr (avgifter),Les mer,26.11.2020,Blå,Bakhjulsdrift,306 Hk,2 l,2 065 kg,44 g/km,5,Stasjonsvogn,5,1,Norge,Bruktbil til salgs,Personbil,BU21304,WDD2132161A720400,2 100 kg
7699,341993211,2020,117 057 km,Manuell,Bensin,3 074 kr (avgifter),Les mer,19.09.2019,Grå,Forhjulsdrift,116 Hk,1 l,1 243 kg,133 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,DR72991,WVWZZZAUZLP005025,1 300 kg
7700,341993142,2020,170 075 km,Automat,Diesel,4 305 kr (avgifter),Les mer,12.12.2019,Hvit,Firehjulsdrift,184 Hk,2 l,1 582 kg,168 g/km,5,Stasjonsvogn,5,1,Norge,Bruktbil til salgs,Personbil,ZH57377,TMBLK9NE1L0079585,2 000 kg
7702,341992338,2020,90 166 km,Automat,Diesel,1 476 kr (avgifter),Les mer,26.03.2020,Hvit,Firehjulsdrift,150 Hk,2 l,1 689 kg,186 g/km,2,Kasse,6,1,Norge,Bruktbil til salgs,Varebil,DR80103,WV1ZZZ2KZLX072223,1 450 kg
7721,341945195,2020,51 500 km,Manuell,Bensin,3 074 kr (avgifter),Les mer,26.02.2020,Blå,Forhjulsdrift,95 Hk,1 l,1 089 kg,94 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,YA71724,WF0JXXGAHJKP36628,1 000 kg
7738,341934132,2020,99 880 km,Automat,Diesel,4 305 kr (avgifter),Les mer,07.11.2019,Rød,Firehjulsdrift,190 Hk,2 l,1 697 kg,149 g/km,5,SUV/Offroad,4,1,Norge,Bruktbil til salgs,Personbil,NF96231,TMBLK9NS5L8506211,2 500 kg
7785,341902877,2020,47 787 km,Automat,El + Bensin,4 305 kr (avgifter),Les mer,27.03.2020,Svart,Forhjulsdrift,300 Hk,"1,6 l",1 840 kg,29 g/km,5,SUV/Offroad,5,1,Norge,Bruktbil til salgs,Personbil,VJ19524,VF3M45GBULS086906,1 250 kg
7790,341900915,2020,106 779 km,Automat,Diesel,4 305 kr (avgifter),Les mer,27.12.2019,Blå,Firehjulsdrift,190 Hk,2 l,1 660 kg,138 g/km,5,Stasjonsvogn,4,1,Norge,Bruktbil til salgs,Personbil,UF86236,WVWZZZ3CZLE071116,2 200 kg
7791,341900910,2020,20 515 km,Automat,El + Bensin,4 305 kr (avgifter),Les mer,27.01.2020,Sølv,Forhjulsdrift,141 Hk,"1,6 l",1 495 kg,26 g/km,5,Kombi 5-dørs,5,1,Norge,Bruktbil til salgs,Personbil,US12502,KMHC751DGLU177636,750 kg
