,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Omregistrering,1. gang registrert,Hjuldrift,Effekt,Vekt,Antall seter,Karosseri,Antall dører,Salgsform,Avgiftsklasse,Maksimal tilhengervekt
43,338516257,2002,261 938 km,Manuell,Diesel,1 845 kr (avgifter),18.10.2002,Firehjulsdrift,131 Hk,1 680 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 800 kg
44,338402367,2002,280 000 km,Manuell,Bensin,1 845 kr (avgifter),03.07.2002,Forhjulsdrift,110 Hk,1 235 kg,5,Stasjonsvogn,5,Bruktbil til salgs,Personbil,1 300 kg
45,338374572,1989,157 000 km,Manuell,Bensin,Fritatt (avgifter),31.05.1989,Forhjulsdrift,79 Hk,820 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,700 kg
48,337342176,2004,153 889 km,Manuell,Bensin,1 777 kr (avgifter),02.04.2004,Forhjulsdrift,73 Hk,1 005 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 174 kg
49,337175532,2003,256 000 km,Manuell,Bensin,1 845 kr (avgifter),30.07.2003,Firehjulsdrift,124 Hk,1 440 kg,5,SUV/Offroad,5,Bruktbil til salgs,Personbil,1 500 kg
50,336590906,2006,315 281 km,Manuell,Diesel,Ikke oppgitt (avgifter),06.07.2006,Forhjulsdrift,105 Hk,1 530 kg,5,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 500 kg
51,336183048,2009,248 000 km,Manuell,Bensin,1 845 kr (avgifter),01.08.2008,Forhjulsdrift,80 Hk,1 153 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,1 000 kg
52,335345437,1992,279 611 km,Manuell,Diesel,Fritatt (avgifter),27.02.1992,Forhjulsdrift,78 Hk,1 585 kg,2,Kasse,4,Bruktbil til salgs,Varebil,2 590 kg
53,328873302,2005,208 000 km,Manuell,Bensin,1 845 kr (avgifter),07.12.2004,Forhjulsdrift,95 Hk,1 045 kg,5,Kombi 5-dørs,5,Bruktbil til salgs,Personbil,750 kg
54,326581266,2006,84 468 km,Manuell,Bensin,Fritatt (avgifter),23.05.2006,Forhjulsdrift,65 Hk,1 050 kg,5,Annet,4,Bruktbil til salgs,Personbil,700 kg
55,326163471,2007,235 774 km,Manuell,Diesel,Fritatt (avgifter),27.04.2007,Forhjulsdrift,140 Hk,1 600 kg,7,Flerbruksbil,5,Bruktbil til salgs,Personbil,1 500 kg
