Finnkode,Equipment
339472197,"[""ABS-bremser"", ""Airbag foran"", ""Alarm"", ""Antiskrens"", ""Antispinn"", ""Beltevarsler"", ""CD-spiller"", ""El.vinduer"", ""Elektriske speil"", ""Fabrikkmontert alarm"", ""Fjernstyrt sentrall\u00e5s"", ""Hengerfeste"", ""Klimaanlegg"", ""Lettmet. felg vinter"", ""Manuelt klimaanlegg"", ""Midtarmlene"", ""Oppvarmede speil"", ""Pollenfilter"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Servostyring"", ""Skinninteri\u00f8r"", ""Skinnratt"", ""Startsperre"", ""T\u00e5kelys"", ""Vinterdekk""]"
339358193,[]
338959118,"[""ABS-bremser"", ""Airbag foran"", ""Antispinn"", ""El.vinduer"", ""Hengerfeste, fast krok"", ""Isofix"", ""Klimaanlegg"", ""Midtarmlene"", ""Oppvarmede seter"", ""Radio DAB+"", ""Sentrall\u00e5s"", ""Vinterhjul""]"
338637053,"[""Lettmet. felg vinter"", ""Takrails"", ""Vinterdekk""]"
338628534,"[""Airbag foran"", ""Beltevarsler"", ""El.vinduer"", ""Elektriske speil""]"
338516257,"[""ABS-bremser"", ""Airbag foran side"", ""Airbag gardiner"", ""Antiskrens"", ""Antispinn"", ""Bagasjeromstrekk / hattehylle"", ""Beltevarsler"", ""CD-spiller"", ""El.vinduer"", ""Elektriske speil"", ""Farget glass"", ""Hengerfeste"", ""Interi\u00f8r sport"", ""Kj\u00f8recomputer"", ""Klimaanlegg 2-soner"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Midtarmlene"", ""Oppvarmede seter"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Servostyring"", ""Skinnratt"", ""Sommerdekk"", ""Startsperre"", ""St\u00e5lbjelker"", ""Takrails"", ""T\u00e5kelys"", ""Vinterdekk"", ""Xenonlys""]"
338402367,"[""Air Condition"", ""El.vinduer"", ""Elektriske speil"", ""Sommerhjul"", ""Vinterhjul""]"
338374572,"[""CD-spiller"", ""Hengerfeste, avtagbart/svingbart"", ""Motorvarmer"", ""Oppvarmede seter""]"
338048217,[]
221598271,[]
