,Finnkode,Specifications
26,340342876,"{""Modell\u00e5r"": ""2006"", ""Kilometer"": ""241 912 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin"", ""Omregistrering"": ""3 074 kr (avgifter)"", ""Pris eks omreg"": ""6 915 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""06.04.2006"", ""Farge"": ""Gull"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""88 Hk"", ""Sylindervolum"": ""1,4 l"", ""Vekt"": ""1 092 kg"", ""CO2-utslipp"": ""150 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Flerbruksbil"", ""Antall d\u00f8rer"": ""5"", ""Antall eiere"": ""6"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""VF76774"", ""Chassis nr. (VIN)"": ""SJNFAAE11U1004750"", ""Maksimal tilhengervekt"": ""945 kg"", ""Neste frist for EU-kontroll"": ""17.03.2024""}"
28,340180113,"{""Modell\u00e5r"": ""2005"", ""Kilometer"": ""332 835 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Diesel"", ""Omregistrering"": ""1 845 kr (avgifter)"", ""Pris eks omreg"": ""8 000 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""17.11.2004"", ""Farge"": ""Svart"", ""Interi\u00f8rfarge"": ""Lyst"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""163 Hk"", ""Sylindervolum"": ""2,4 l"", ""Vekt"": ""1 632 kg"", ""CO2-utslipp"": ""204 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Sedan"", ""Antall d\u00f8rer"": ""5"", ""Antall eiere"": ""5"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""KT67835"", ""Chassis nr. (VIN)"": ""YV1TS796951399510"", ""Maksimal tilhengervekt"": ""1 800 kg"", ""Sist EU-godkjent"": ""22.03.2022"", ""Neste frist for EU-kontroll"": ""18.03.2024""}"
29,340253341,"{""Modell\u00e5r"": ""2004"", ""Kilometer"": ""220 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin"", ""Omregistrering"": ""Fritatt (avgifter)"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""05.02.2004"", ""Farge"": ""Bl\u00e5"", ""Hjuldrift"": ""Bakhjulsdrift"", ""Effekt"": ""170 Hk"", ""Sylindervolum"": ""2,2 l"", ""Vekt"": ""1 560 kg"", ""CO2-utslipp"": ""219 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Sedan"", ""Antall d\u00f8rer"": ""4"", ""Antall eiere"": ""7"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""BP88454"", ""Chassis nr. (VIN)"": ""WBANA31000B007423"", ""Maksimal tilhengervekt"": ""1 600 kg"", ""Neste frist for EU-kontroll"": ""30.06.2020""}"
30,340231212,"{""Modell\u00e5r"": ""2003"", ""Kilometer"": ""295 000 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Bensin"", ""Omregistrering"": ""1 845 kr (avgifter)"", ""Pris eks omreg"": ""6 575 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""20.09.2023"", ""Farge"": ""S\u00f8lv"", ""Hjuldrift"": ""Bakhjulsdrift"", ""Effekt"": ""143 Hk"", ""Sylindervolum"": ""1,8 l"", ""Vekt"": ""1 505 kg"", ""CO2-utslipp"": ""195 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Sedan"", ""Antall d\u00f8rer"": ""4"", ""Antall eiere"": ""3"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""RL65345"", ""Chassis nr. (VIN)"": ""WDB2030461F453549"", ""Maksimal tilhengervekt"": ""1 500 kg"", ""Neste frist for EU-kontroll"": ""31.05.2025""}"
34,339867607,"{""Modell\u00e5r"": ""2007"", ""Kilometer"": ""227 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel"", ""Omregistrering"": ""1 845 kr (avgifter)"", ""Pris eks omreg"": ""8 000 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""05.03.2007"", ""Farge"": ""Gr\u00e5"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""105 Hk"", ""Sylindervolum"": ""1,9 l"", ""Vekt"": ""1 477 kg"", ""CO2-utslipp"": ""153 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Stasjonsvogn"", ""Antall d\u00f8rer"": ""5"", ""Antall eiere"": ""3"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""DL59475"", ""Chassis nr. (VIN)"": ""WVWZZZ3CZ7E173742"", ""Maksimal tilhengervekt"": ""1 500 kg"", ""Sist EU-godkjent"": ""14.03.2023"", ""Neste frist for EU-kontroll"": ""09.01.2025""}"
36,339800964,"{""Modell\u00e5r"": ""2005"", ""Kilometer"": ""199 000 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Diesel"", ""Omregistrering"": ""1 845 kr (avgifter)"", ""Pris eks omreg"": ""7 000 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""30.09.2004"", ""Farge"": ""Svart"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""105 Hk"", ""Sylindervolum"": ""1,9 l"", ""Vekt"": ""1 579 kg"", ""CO2-utslipp"": ""165 g/km"", ""Antall seter"": ""7"", ""Karosseri"": ""Flerbruksbil"", ""Antall d\u00f8rer"": ""5"", ""Antall eiere"": ""3"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""DK89159"", ""Chassis nr. (VIN)"": ""WVGZZZ1TZ5W051030"", ""Maksimal tilhengervekt"": ""1 500 kg"", ""Sist EU-godkjent"": ""26.09.2023"", ""Neste frist for EU-kontroll"": ""30.09.2024""}"
39,339358193,"{""Modell\u00e5r"": ""2008"", ""Kilometer"": ""215 888 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel"", ""Omregistrering"": ""1 845 kr (avgifter)"", ""Pris eks omreg"": ""7 000 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""18.07.2008"", ""Farge"": ""Gr\u00e5"", ""Interi\u00f8rfarge"": ""Sorte seter"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""109 Hk"", ""Sylindervolum"": ""1,6 l"", ""Vekt"": ""1 426 kg"", ""CO2-utslipp"": ""140 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Stasjonsvogn"", ""Antall d\u00f8rer"": ""5"", ""Antall eiere"": ""3"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""PP78494"", ""Chassis nr. (VIN)"": ""VF36E9HZC21700477"", ""Maksimal tilhengervekt"": ""1 300 kg"", ""Sist EU-godkjent"": ""24.02.2022"", ""Neste frist for EU-kontroll"": ""24.02.2024""}"
48,337342176,"{""Modell\u00e5r"": ""2004"", ""Kilometer"": ""153 889 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin"", ""Omregistrering"": ""1 777 kr (avgifter)"", ""Pris eks omreg"": ""7 500 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""02.04.2004"", ""Farge"": ""R\u00f8d"", ""Fargebeskrivelse"": ""R\u00f8d"", ""Interi\u00f8rfarge"": ""Gr\u00e5tt"", ""Hjuldrift"": ""Forhjulsdrift"", ""Hjuldriftnavn"": ""2wd"", ""Effekt"": ""73 Hk"", ""Sylindervolum"": ""1,4 l"", ""Vekt"": ""1 005 kg"", ""CO2-utslipp"": ""148 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Kombi 5-d\u00f8rs"", ""Antall d\u00f8rer"": ""5"", ""Antall eiere"": ""4"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""BP90613"", ""Chassis nr. (VIN)"": ""VF7FCKFVB26917426"", ""Maksimal tilhengervekt"": ""1 174 kg"", ""Sist EU-godkjent"": ""22.04.2022"", ""Neste frist for EU-kontroll"": ""16.03.2024""}"
51,336183048,"{""Modell\u00e5r"": ""2009"", ""Kilometer"": ""248 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin"", ""Omregistrering"": ""1 845 kr (avgifter)"", ""Pris eks omreg"": ""7 000 kr"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""01.08.2008"", ""Farge"": ""Svart"", ""Fargebeskrivelse"": ""Svart"", ""Interi\u00f8rfarge"": ""Svart og gr\u00e5"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""80 Hk"", ""Sylindervolum"": ""1,4 l"", ""Vekt"": ""1 153 kg"", ""CO2-utslipp"": ""164 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Kombi 5-d\u00f8rs"", ""Antall d\u00f8rer"": ""5"", ""Antall eiere"": ""2"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""SU65922"", ""Chassis nr. (VIN)"": ""WVWZZZ1KZ9W047978"", ""Maksimal tilhengervekt"": ""1 000 kg"", ""Sist EU-godkjent"": ""28.02.2022"", ""Neste frist for EU-kontroll"": ""28.02.2024""}"
54,326581266,"{""Modell\u00e5r"": ""2006"", ""Kilometer"": ""84 468 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin"", ""Omregistrering"": ""Fritatt (avgifter)"", ""\u00c5rsavgift"": ""Les mer"", ""1. gang registrert"": ""23.05.2006"", ""Farge"": ""Svart"", ""Hjuldrift"": ""Forhjulsdrift"", ""Effekt"": ""65 Hk"", ""Sylindervolum"": ""1,1 l"", ""Vekt"": ""1 050 kg"", ""CO2-utslipp"": ""130 g/km"", ""Antall seter"": ""5"", ""Karosseri"": ""Annet"", ""Antall d\u00f8rer"": ""4"", ""Antall eiere"": ""6"", ""Bilen st\u00e5r i"": ""Norge"", ""Salgsform"": ""Bruktbil til salgs"", ""Avgiftsklasse"": ""Personbil"", ""Reg.nr."": ""BR30413"", ""Chassis nr. (VIN)"": ""KMHBT51GP6U543936"", ""Maksimal tilhengervekt"": ""700 kg"", ""Neste frist for EU-kontroll"": ""10.11.2023""}"
