id,Finnkode,Equipment
14,340845032,"[""AEB/fotgjenger"", ""AEB/lav hastighet"", ""Aktive hodest\u00f8tter foran"", ""Alarm, fabrikkmontert"", ""Antispinn"", ""Automatisk fjernlysdimmer"", ""Automatisk kollisjonsbrems"", ""Automatisk tenning hovedlys"", ""Avstandsf\u00f8lere foran og bak"", ""Bakkenedkj\u00f8ringsassistent"", ""Bakkestartassistent"", ""Bakluke, elektrisk \u00e5pning"", ""Bakseter, delt"", ""Bakseter, nedfellbart"", ""Bakseter, oppvarmet"", ""DAB-radio"", ""Dekktrykksoverv\u00e5ker"", ""Dynamisk lysspredning hovedlys"", ""Ekstravarmer, kj\u00f8revarmer"", ""Elektrisk seteregulering foran"", ""Elektrisk soltak"", ""Fartsholder, dynamisk"", ""Felger, aluminium"", ""Filskiftvarsler"", ""Filskiftvarsler dynamisk"", ""Frontlys, h\u00f8ydejusterbare"", ""F\u00f8rersete h\u00f8ydejusterbart"", ""F\u00f8rersete korsryggjustering"", ""H\u00f8yttalere, antall: 11"", ""Innfellbare speil, elektrisk"", ""Internettilkobling"", ""Isofix barnesetefesting"", ""Kj\u00f8rekomputer"", ""Kj\u00f8ret\u00f8ylokalisering"", ""Klimaanlegg, antall soner: 2"", ""Klimaanlegg, automatisk"", ""Kollisjonsputer, antall: 7"", ""Kollisjonsvarsler"", ""LED hovedlys"", ""LED kj\u00f8relys"", ""Ladekabel"", ""Lakkerte st\u00f8tfangere"", ""Lakkerte utvendige speil"", ""Lyktespylere"", ""Midtarmlene bak"", ""Midtarmlene foran"", ""Mobiltelefon m/stemmestyring"", ""Mobiltelefoni, Bluetooth"", ""Mobiltelefonspeiling"", ""Multifunksjonsratt"", ""Navigasjonssystem"", ""N\u00f8doppringning/eCall"", ""N\u00f8kkelfri l\u00e5s/start"", ""N\u00f8kler, antall: 2"", ""Oppvarmede seter foran, ant.: 2"", ""Panorama glasstak"", ""Parkeringsvarmer m/fjernstyring"", ""Pollenfilter"", ""Ratt, h\u00f8ydejusterbart"", ""Ratt, lengdejusterbart"", ""Ratt, skinn"", ""Regnsensor"", ""Reservehjul"", ""Ruter, tonede"", ""Seter, helskinn"", ""Seter, komfort"", ""Sommerhjul"", ""Speil, elektrisk"", ""Speil, oppvarmet"", ""Stabilitetssystem, antiskrens"", ""Trafikkskiltleser"", ""Tretthetsvarsler"", ""USB-tilkobling"", ""Utforkj\u00f8ringsbeskytter"", ""Utkobling av h\u00f8yre kollisjonspute"", ""Vindusheiser elektriske foran og bak"", ""Vinterhjul""]"
15,340246155,"[""Airbag foran"", ""Antiskrens"", ""Antispinn"", ""Beltevarsler"", ""CD-spiller"", ""El.vinduer"", ""Elektrisk soltak"", ""Kj\u00f8recomputer"", ""Lakkerte utvendige speil"", ""Manuelt klimaanlegg"", ""Metallic lakk"", ""N\u00f8dbremseforsterker"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Skinnratt"", ""Sommerdekk"", ""Startsperre"", ""Takluke"", ""Turteller"", ""Vinterdekk""]"
16,339472197,"[""ABS-bremser"", ""Airbag foran"", ""Alarm"", ""Antiskrens"", ""Antispinn"", ""Beltevarsler"", ""CD-spiller"", ""El.vinduer"", ""Elektriske speil"", ""Fabrikkmontert alarm"", ""Fjernstyrt sentrall\u00e5s"", ""Hengerfeste"", ""Klimaanlegg"", ""Lettmet. felg vinter"", ""Manuelt klimaanlegg"", ""Midtarmlene"", ""Oppvarmede speil"", ""Pollenfilter"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Servostyring"", ""Skinninteri\u00f8r"", ""Skinnratt"", ""Startsperre"", ""T\u00e5kelys"", ""Vinterdekk""]"
17,338637053,"[""Lettmet. felg vinter"", ""Takrails"", ""Vinterdekk""]"
18,338628534,"[""Airbag foran"", ""Beltevarsler"", ""El.vinduer"", ""Elektriske speil""]"
19,338516257,"[""ABS-bremser"", ""Airbag foran side"", ""Airbag gardiner"", ""Antiskrens"", ""Antispinn"", ""Bagasjeromstrekk / hattehylle"", ""Beltevarsler"", ""CD-spiller"", ""El.vinduer"", ""Elektriske speil"", ""Farget glass"", ""Hengerfeste"", ""Interi\u00f8r sport"", ""Kj\u00f8recomputer"", ""Klimaanlegg 2-soner"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Midtarmlene"", ""Oppvarmede seter"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Servostyring"", ""Skinnratt"", ""Sommerdekk"", ""Startsperre"", ""St\u00e5lbjelker"", ""Takrails"", ""T\u00e5kelys"", ""Vinterdekk"", ""Xenonlys""]"
20,336590906,"[""ABS-bremser"", ""Airbag foran"", ""Cruisekontroll"", ""El.vinduer"", ""Elektriske speil"", ""Fjernstyrt sentrall\u00e5s"", ""Klimaanlegg 2-soner"", ""Klimaanlegg bak"", ""Multifunksjonsratt"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Startsperre"", ""Turteller""]"
21,336089228,[]
22,328873302,"[""ABS-bremser"", ""Airbag foran"", ""Airbag foran side"", ""Antiskrens"", ""CD-spiller"", ""El.vinduer"", ""Fjernstyrt sentrall\u00e5s"", ""Manuelt klimaanlegg"", ""Metallic lakk"", ""Oppvarmede seter"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Servostyring"", ""Seter nedfellbare bak"", ""Skinnratt"", ""Sommerdekk"", ""Startsperre"", ""Turteller"", ""T\u00e5kelys"", ""Vinterdekk""]"
23,326581266,[]
24,326163471,[]
25,325586826,"[""El.vinduer"", ""Hengerfeste, fast krok"", ""Kj\u00f8recomputer"", ""Radio FM"", ""Sommerhjul"", ""Vinterhjul""]"
26,323307060,"[""Hengerfeste""]"
27,322624064,[]
28,317512983,[]
29,312416240,"[""Hengerfeste"", ""Sommerdekk""]"
30,308096688,[]
31,306412306,[]
32,299261308,[]
33,295670731,"[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Airbag foran"", ""Antiskrens"", ""Antispinn"", ""CD-spiller"", ""Cruisekontroll"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Isofix"", ""Klimaanlegg"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Metallic lakk"", ""M\u00f8rke ruter bak"", ""Oppvarmede seter"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sideairbager"", ""Sommerhjul"", ""Takrails"", ""Vinterhjul""]"
34,293419507,"[""ABS-bremser"", ""Airbag foran"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Metallic lakk"", ""Radio FM"", ""Servostyring"", ""Startsperre"", ""Vinterhjul""]"
35,340998188,"[""ABS-bremser"", ""Air Condition"", ""Airbag foran"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Lasteholdere/skistativ"", ""Radio DAB+"", ""Radio FM"", ""Servostyring"", ""Sommerhjul"", ""Vinterhjul""]"
36,340900791,"[""ABS-bremser"", ""AUX tilkobling"", ""Airbag foran"", ""Alarm"", ""Antiskrens"", ""Antispinn"", ""Beltevarsler"", ""CD-spiller"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Elektriske speil"", ""Fabrikkmontert alarm"", ""Fjernstyrt sentrall\u00e5s"", ""Kj\u00f8recomputer"", ""Klimaanlegg"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Manuelt klimaanlegg"", ""Midtarmlene"", ""Multifunksjonsratt"", ""Oppvarmede seter"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Skinnratt"", ""Sommerdekk"", ""Startsperre"", ""Takrails"", ""T\u00e5kelys"", ""Vinterdekk""]"
37,340887706,"[""Diesel-partikkelfilter"", ""Hengerfeste"", ""Sommerdekk"", ""Vinterdekk""]"
38,340417958,[]
39,340843847,"[""ABS-bremser"", ""Airbag foran"", ""Antiskrens"", ""Antispinn"", ""Bagasjeromstrekk / hattehylle"", ""Fjernstyrt sentrall\u00e5s"", ""Hel\u00e5rsdekk"", ""Hengerfeste"", ""Metallic lakk"", ""Multifunksjonsratt"", ""Radio FM"", ""Servostyring""]"
40,340572987,"[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Bagasjeromstrekk"", ""Bluetooth"", ""CD-spiller"", ""El.vinduer"", ""Kj\u00f8recomputer"", ""Oppvarmede seter"", ""Radio DAB+"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sommerhjul"", ""Vinterhjul""]"
41,340545801,"[""Bagasjeromstrekk"", ""El.vinduer"", ""Elektriske speil"", ""Isofix"", ""Klimaanlegg"", ""Lasteholdere/skistativ"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Motorvarmer"", ""Oppvarmede seter"", ""Servostyring"", ""Sommerhjul"", ""Vinterhjul""]"
42,340344685,"[""El.vinduer"", ""Sommerhjul"", ""Vinterhjul""]"
43,340332504,"[""ABS-bremser"", ""Airbag foran"", ""CD-spiller"", ""Hel\u00e5rsdekk"", ""Hengerfeste"", ""Kj\u00f8recomputer"", ""Klimaanlegg"", ""Metallic lakk"", ""Radio FM"", ""Sentrall\u00e5s""]"
44,340217345,"[""ABS-bremser"", ""Airbag bak side"", ""Airbag foran"", ""Alarm"", ""Antiskrens"", ""Antispinn"", ""Elektriske speil"", ""Fjernstyrt sentrall\u00e5s"", ""Hengerfeste"", ""Kj\u00f8recomputer"", ""Klimaanlegg"", ""Metallic lakk"", ""Midtarmlene"", ""Oppvarmet frontrute"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Servostyring"", ""Seter nedfellbare bak"", ""Skinnratt"", ""Sommerdekk"", ""Turteller"", ""T\u00e5kelys"", ""Vinterdekk""]"
45,340070645,"[""Diesel-partikkelfilter""]"
46,339707221,[]
47,339445237,[]
48,339325528,"[""ABS-bremser"", ""AUX tilkobling"", ""Airbag foran"", ""Airbag foran side"", ""Bagasjeromstrekk / hattehylle"", ""Beltevarsler"", ""CD-spiller"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Hengerfeste"", ""Isofix"", ""Klimaanlegg 2-soner"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Multifunksjonsratt"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Seter nedfellbare bak"", ""Sommerdekk"", ""Startsperre"", ""Vinterdekk""]"
49,339218905,"[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Airbag foran"", ""Alarm"", ""Antiskrens"", ""Antispinn"", ""CD-spiller"", ""Cruisekontroll"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Elektriske speil"", ""Kj\u00f8recomputer"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Lyssensor"", ""Metallic lakk"", ""Midtarmlene"", ""Multifunksjonsratt"", ""Radio FM"", ""Regnsensor"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sideairbager"", ""Soltak/glasstak"", ""Sommerhjul"", ""Startsperre"", ""Takrails"", ""Vinterhjul""]"
50,339186258,"[""Elektriske speil"", ""Hengerfeste, fast krok"", ""Metallic lakk"", ""Oppvarmede seter"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sommerhjul"", ""St\u00e5lbjelker""]"
51,339173613,"[""ABS-bremser"", ""Airbag foran"", ""CD-spiller"", ""El.vinduer"", ""Elektriske speil"", ""Isofix"", ""Kj\u00f8recomputer"", ""Klimaanlegg"", ""Metallic lakk"", ""Oppvarmede seter"", ""Radio FM"", ""Sentrall\u00e5s"", ""Sommerdekk"", ""Vinterdekk""]"
52,338668549,[]
53,338628651,"[""ABS-bremser"", ""Airbag foran"", ""Antiskrens"", ""Antispinn"", ""Beltevarsler"", ""Diesel-partikkelfilter"", ""El.vinduer"", ""Elektriske speil"", ""Fjernstyrt sentrall\u00e5s"", ""Hengerfeste"", ""Klimaanlegg"", ""Lasteholdere/skistativ"", ""Lettmet. felg sommer"", ""Manuelt klimaanlegg"", ""Oppvarmede seter"", ""Regulerbart ratt"", ""Servostyring"", ""Sommerdekk"", ""Speil innfellbare"", ""Takrails"", ""T\u00e5kelys"", ""Vinterdekk""]"
54,338499955,[]
55,338487126,"[""ABS-bremser"", ""AUX-inngang"", ""Airbag foran"", ""Antiskrens"", ""Antispinn"", ""Bagasjeromstrekk"", ""CD-spiller"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, avtagbart/svingbart"", ""Isofix"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Midtarmlene"", ""Motorvarmer"", ""Oppvarmede seter"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sommerhjul"", ""Vinterhjul"", ""Xenonlys""]"
56,338409566,"[""ABS-bremser"", ""AUX-inngang"", ""Air Condition"", ""Airbag foran"", ""Antispinn"", ""CD-spiller"", ""Cruisekontroll"", ""El.vinduer"", ""Elektriske speil"", ""Hel\u00e5rsdekk"", ""Isofix"", ""Kj\u00f8recomputer"", ""Klimaanlegg"", ""Metallic lakk"", ""Oppvarmede seter"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sommerhjul"", ""Vinterhjul""]"
57,335952689,"[""ABS-bremser"", ""Air Condition"", ""Airbag foran"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, avtagbart/svingbart"", ""Lettmet. felg vinter"", ""Metallic lakk"", ""Sentrall\u00e5s"", ""Servostyring"", ""Seter i helskinn"", ""Vinterhjul""]"
58,337370327,[]
59,337200969,"[""7-Seter"", ""ABS"", ""Airbags"", ""Aircondition"", ""Antispinn"", ""EL.Sete"", ""EL.Speil"", ""El.Ruter"", ""Hel\u00e5rs"", ""Hengerfeste"", ""Klima"", ""Midtarmlene"", ""Oppv. Frontrute"", ""Oppv.Seter"", ""Park.Sensor"", ""Radio DAB+"", ""Sentrall\u00e5s"", ""Servo"", ""Stereo"", ""Teleskopratt"", ""Tiltratt""]"
60,335892487,"[""ABS-bremser"", ""Airbag foran"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Isofix"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Sentrall\u00e5s"", ""Servostyring"", ""Seter i helskinn"", ""Sommerhjul"", ""Takrails"", ""Vinterhjul""]"
61,332526123,[]
62,330636145,"[""ABS-bremser"", ""Air Condition"", ""Airbag foran"", ""Antispinn"", ""Bluetooth"", ""Handsfree opplegg"", ""Lettmet. felg vinter"", ""Radio DAB+"", ""Radio FM"", ""Servostyring"", ""Startsperre"", ""Vinterhjul""]"
63,329962747,[]
64,328749231,"[""ABS-bremser"", ""AUX-inngang"", ""Airbag foran"", ""Antiskrens"", ""Antispinn"", ""Bagasjeromstrekk"", ""CD-spiller"", ""Diff.sperre"", ""El.vinduer"", ""Elektriske speil"", ""Kj\u00f8recomputer"", ""Metallic lakk"", ""Midtarmlene"", ""Oppvarmede seter"", ""Radio DAB+"", ""Regnsensor"", ""Sentrall\u00e5s"", ""Servostyring"", ""Sideairbager"", ""Sommerhjul"", ""Startsperre"", ""Vinterhjul""]"
65,327965364,"[""ABS"", ""Airbags"", ""Alufelger Vinter"", ""Antispinn"", ""EL.Speil"", ""El.Ruter"", ""Kj\u00f8recomputer"", ""Klima"", ""Midtarmlene"", ""Multiratt"", ""Oppv.Seter"", ""Sentrall\u00e5s"", ""Servo"", ""Stereo"", ""Teleskopratt"", ""Tiltratt"", ""Vinterdekk""]"
66,236024956,"[""ABS-bremser"", ""Airbag foran"", ""El.vinduer"", ""Elektriske speil"", ""Hengerfeste, fast krok"", ""Kj\u00f8recomputer"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Motorvarmer"", ""Radio DAB+"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Seter i helskinn"", ""Sommerhjul"", ""Takrails"", ""Vinterhjul""]"
67,325881927,[]
68,324810711,[]
