Id,Finnkode,Modellår,Kilometer,Girkasse,Drivstoff,Årsavgift,Farge,Hjuldrift,Effekt,Sylindervolum,Vekt,CO2utslipp,AntallSeter,Karosseri,AntallDører,AntallEiere,Avgiftsklasse,Maksimaltilhengervekt,SalePrice
41,341209806,2005,133500,Manuell,Bensin,1845,Sølv,Forhjulsdrift,64,1.2,1090,144,5,KombiFemDørs,5,4,Personbil,750,11845
42,341203941,2006,340000,Manuell,Diesel,1845,Sølv,Forhjulsdrift,140,2,1540,174,5,Sedan,4,10,Personbil,1600,11845
43,341050438,2001,204122,Manuell,Bensin,1845,Grønn,Forhjulsdrift,101,1.6,1255,243,5,Sedan,4,7,Personbil,1150,13845
44,340909672,2006,295054,Manuell,Diesel,0,Sølv,Forhjulsdrift,125,1.8,1732,166,7,Flerbruksbil,4,4,Personbil,1400,13000
45,341152281,2008,263751,Manuell,Diesel,1845,Gul,Forhjulsdrift,109,1.6,1411,132,5,Stasjonsvogn,5,5,Personbil,1300,13845
46,341120830,2003,330000,Automat,Diesel,0,Svart,Bakhjulsdrift,150,2.1,1565,177,5,Sedan,4,7,Personbil,1900,13000
47,341109762,2008,149000,Manuell,Bensin,3074,Rød,Forhjulsdrift,80,1.2,957,139,5,KombiFemDørs,5,3,Personbil,800,13074
48,331081371,2001,251500,Automat,Bensin,1777,Grå,Firehjulsdrift,165,2.4,1690,271,5,Stasjonsvogn,5,7,Personbil,1840,11777
49,341064397,2008,291420,Manuell,Bensin,1845,Grå,Firehjulsdrift,107,1.6,1265,164,5,KombiFemDørs,4,4,Personbil,1200,10845
50,340996090,2006,350000,Automat,Diesel,1845,Grå,Bakhjulsdrift,170,2.1,1735,194,5,Stasjonsvogn,5,5,Personbil,2100,13845
51,340998952,2006,243795,Manuell,Bensin,1845,Grå,Forhjulsdrift,105,1.6,1240,161,5,Stasjonsvogn,5,7,Personbil,1100,14845
52,340932421,2002,317000,Manuell,Bensin,1845,Blå,Forhjulsdrift,105,1.6,1215,168,5,Sedan,4,6,Personbil,1200,11845
53,340913122,2007,179000,Manuell,Diesel,1845,Svart,Forhjulsdrift,136,2,1505,155,5,Sedan,4,5,Personbil,1900,10845
54,340895717,2004,188000,Manuell,Diesel,1845,Sølv,Forhjulsdrift,101,1.9,1639,162,5,Flerbruksbil,5,5,Personbil,1500,11845
55,340896181,1999,220000,Manuell,Bensin,3074,Blå,Forhjulsdrift,101,1.6,1162,185,5,Sedan,4,3,Personbil,1200,13074
56,340782840,2008,257000,Manuell,Diesel,1845,Svart,Forhjulsdrift,140,2,1470,149,5,Stasjonsvogn,5,4,Personbil,1600,14345
57,340881157,2007,238629,Automat,Diesel,1845,Svart,Forhjulsdrift,109,2,1305,142,5,Flerbruksbil,4,3,Personbil,1500,12745
58,333797999,2007,177000,Manuell,Diesel,1186,Hvit,Forhjulsdrift,75,1.8,1575,171,2,Kasse,4,8,Varebil,1200,11186
59,340339850,2006,226934,Manuell,Diesel,1845,Sølv,Forhjulsdrift,109,1.6,1341,132,5,Stasjonsvogn,4,8,Personbil,1300,11845
60,337270395,2011,287000,Manuell,Diesel,3074,Grå,Forhjulsdrift,90,1.4,1135,113,5,Flerbruksbil,5,4,Personbil,800,13074
61,340160567,2008,270000,Automat,Bensin,1845,Svart,Forhjulsdrift,120,1.6,1312,174,5,KombiFemDørs,5,3,Personbil,1520,13845
62,268882640,2006,186000,Manuell,Bensin,1729,Sølv,Forhjulsdrift,102,1.6,1208,178,5,KombiFemDørs,5,3,Personbil,1000,10729
63,339611012,1999,205755,Manuell,Bensin,1845,Grønn,Forhjulsdrift,86,1.3,1065,168,5,Coupe,5,9,Personbil,1000,12845
64,339814746,2005,194000,Manuell,Diesel,1845,Grå,Bakhjulsdrift,163,2,1430,153,5,Sedan,4,6,Personbil,1600,11845
65,339778227,2004,292000,Manuell,Bensin,1845,Grå,Forhjulsdrift,129,1.8,1295,172,5,Stasjonsvogn,4,5,Personbil,1300,10845
66,337882443,2003,165352,Manuell,Bensin,1845,Rød,Forhjulsdrift,109,1.6,1355,184,5,Stasjonsvogn,5,3,Personbil,1200,12845
