Finnkode,car_name,Price,Specifications,Equipment
190912497,Nissan X-Trail,1707,"{""Modell\u00e5r"": ""2004"", ""Kilometer"": ""180 000 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Bensin""}","[""ABS-bremser"", ""Airbag foran"", ""Beltevarsler"", ""El.vinduer"", ""Elektriske speil"", ""Farget glass"", ""Fjernstyrt sentrall\u00e5s"", ""Hel\u00e5rsdekk"", ""Lettmet. felg vinter"", ""Oppvarmede speil"", ""Radio FM"", ""Regulerbart ratt"", ""Servostyring"", ""Seter nedfellbare bak"", ""Skinninteri\u00f8r"", ""Skinnseter"", ""fine skjnnseter el""]"
142486773,Peugeot 1007,3118,"{""Modell\u00e5r"": ""2007"", ""Kilometer"": ""139 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin""}","[""ABS-bremser"", ""Airbag foran"", ""Bagasjeromstrekk / hattehylle""]"
340845032,Volvo XC 60,9499,"{""Modell\u00e5r"": ""2023"", ""Kilometer"": ""3 643 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""El + Bensin""}","[""AEB/fotgjenger"", ""AEB/lav hastighet"", ""Aktive hodest\u00f8tter foran"", ""Alarm, fabrikkmontert"", ""Antispinn"", ""Automatisk fjernlysdimmer"", ""Automatisk kollisjonsbrems"", ""Automatisk tenning hovedlys"", ""Avstandsf\u00f8lere foran og bak"", ""Bakkenedkj\u00f8ringsassistent"", ""Bakkestartassistent"", ""Bakluke, elektrisk \u00e5pning"", ""Bakseter, delt"", ""Bakseter, nedfellbart"", ""Bakseter, oppvarmet"", ""DAB-radio"", ""Dekktrykksoverv\u00e5ker"", ""Dynamisk lysspredning hovedlys"", ""Ekstravarmer, kj\u00f8revarmer"", ""Elektrisk seteregulering foran"", ""Elektrisk soltak"", ""Fartsholder, dynamisk"", ""Felger, aluminium"", ""Filskiftvarsler"", ""Filskiftvarsler dynamisk"", ""Frontlys, h\u00f8ydejusterbare"", ""F\u00f8rersete h\u00f8ydejusterbart"", ""F\u00f8rersete korsryggjustering"", ""H\u00f8yttalere, antall: 11"", ""Innfellbare speil, elektrisk"", ""Internettilkobling"", ""Isofix barnesetefesting"", ""Kj\u00f8rekomputer"", ""Kj\u00f8ret\u00f8ylokalisering"", ""Klimaanlegg, antall soner: 2"", ""Klimaanlegg, automatisk"", ""Kollisjonsputer, antall: 7"", ""Kollisjonsvarsler"", ""LED hovedlys"", ""LED kj\u00f8relys"", ""Ladekabel"", ""Lakkerte st\u00f8tfangere"", ""Lakkerte utvendige speil"", ""Lyktespylere"", ""Midtarmlene bak"", ""Midtarmlene foran"", ""Mobiltelefon m/stemmestyring"", ""Mobiltelefoni, Bluetooth"", ""Mobiltelefonspeiling"", ""Multifunksjonsratt"", ""Navigasjonssystem"", ""N\u00f8doppringning/eCall"", ""N\u00f8kkelfri l\u00e5s/start"", ""N\u00f8kler, antall: 2"", ""Oppvarmede seter foran, ant.: 2"", ""Panorama glasstak"", ""Parkeringsvarmer m/fjernstyring"", ""Pollenfilter"", ""Ratt, h\u00f8ydejusterbart"", ""Ratt, lengdejusterbart"", ""Ratt, skinn"", ""Regnsensor"", ""Reservehjul"", ""Ruter, tonede"", ""Seter, helskinn"", ""Seter, komfort"", ""Sommerhjul"", ""Speil, elektrisk"", ""Speil, oppvarmet"", ""Stabilitetssystem, antiskrens"", ""Trafikkskiltleser"", ""Tretthetsvarsler"", ""USB-tilkobling"", ""Utforkj\u00f8ringsbeskytter"", ""Utkobling av h\u00f8yre kollisjonspute"", ""Vindusheiser elektriske foran og bak"", ""Vinterhjul""]"
340246155,Hyundai Getz,8900,"{""Modell\u00e5r"": ""2008"", ""Kilometer"": ""146 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin""}","[""Airbag foran"", ""Antiskrens"", ""Antispinn"", ""Beltevarsler"", ""CD-spiller"", ""El.vinduer"", ""Elektrisk soltak"", ""Kj\u00f8recomputer"", ""Lakkerte utvendige speil"", ""Manuelt klimaanlegg"", ""Metallic lakk"", ""N\u00f8dbremseforsterker"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Skinnratt"", ""Sommerdekk"", ""Startsperre"", ""Takluke"", ""Turteller"", ""Vinterdekk""]"
339472197,Mercedes-Benz C-Klasse,7000,"{""Modell\u00e5r"": ""2001"", ""Kilometer"": ""315 432 km"", ""Girkasse"": ""Automat"", ""Drivstoff"": ""Bensin""}","[""ABS-bremser"", ""Airbag foran"", ""Alarm"", ""Antiskrens"", ""Antispinn"", ""Beltevarsler"", ""CD-spiller"", ""El.vinduer"", ""Elektriske speil"", ""Fabrikkmontert alarm"", ""Fjernstyrt sentrall\u00e5s"", ""Hengerfeste"", ""Klimaanlegg"", ""Lettmet. felg vinter"", ""Manuelt klimaanlegg"", ""Midtarmlene"", ""Oppvarmede speil"", ""Pollenfilter"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Servostyring"", ""Skinninteri\u00f8r"", ""Skinnratt"", ""Startsperre"", ""T\u00e5kelys"", ""Vinterdekk""]"
338637053,Ford Mondeo,9900,"{""Modell\u00e5r"": ""2008"", ""Kilometer"": ""187 500 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}","[""Lettmet. felg vinter"", ""Takrails"", ""Vinterdekk""]"
338628534,Citroen C5,10000,"{""Modell\u00e5r"": ""2002"", ""Kilometer"": ""295 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin""}","[""Airbag foran"", ""Beltevarsler"", ""El.vinduer"", ""Elektriske speil""]"
338516257,Audi A4,9900,"{""Modell\u00e5r"": ""2002"", ""Kilometer"": ""261 938 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}","[""ABS-bremser"", ""Airbag foran side"", ""Airbag gardiner"", ""Antiskrens"", ""Antispinn"", ""Bagasjeromstrekk / hattehylle"", ""Beltevarsler"", ""CD-spiller"", ""El.vinduer"", ""Elektriske speil"", ""Farget glass"", ""Hengerfeste"", ""Interi\u00f8r sport"", ""Kj\u00f8recomputer"", ""Klimaanlegg 2-soner"", ""Lettmet. felg sommer"", ""Lettmet. felg vinter"", ""Midtarmlene"", ""Oppvarmede seter"", ""Radio FM"", ""Regulerbart ratt"", ""Sentrall\u00e5s"", ""Servostyring"", ""Skinnratt"", ""Sommerdekk"", ""Startsperre"", ""St\u00e5lbjelker"", ""Takrails"", ""T\u00e5kelys"", ""Vinterdekk"", ""Xenonlys""]"
336590906,Volkswagen Touran,9990,"{""Modell\u00e5r"": ""2006"", ""Kilometer"": ""315 281 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Diesel""}","[""ABS-bremser"", ""Airbag foran"", ""Cruisekontroll"", ""El.vinduer"", ""Elektriske speil"", ""Fjernstyrt sentrall\u00e5s"", ""Klimaanlegg 2-soner"", ""Klimaanlegg bak"", ""Multifunksjonsratt"", ""Radio FM"", ""Sentrall\u00e5s"", ""Servostyring"", ""Startsperre"", ""Turteller""]"
336089228,Mercedes-Benz E-Klasse,10000,"{""Modell\u00e5r"": ""1982"", ""Kilometer"": ""550 000 km"", ""Girkasse"": ""Manuell"", ""Drivstoff"": ""Bensin""}",[]
