Finnkode,car_name,Link,Price
341450363,Subaru Forester,https://www.finn.no/car/used/ad.html?finnkode=341450363,7000.0
339449551,Opel Zafira,https://www.finn.no/car/used/ad.html?finnkode=339449551,6845.0
340709749,Volkswagen Passat,https://www.finn.no/car/used/ad.html?finnkode=340709749,9845.0
340116443,Saab 9-5,https://www.finn.no/car/used/ad.html?finnkode=340116443,9845.0
341393682,Ford Fiesta,https://www.finn.no/car/used/ad.html?finnkode=341393682,10000.0
341371636,Mazda 6,https://www.finn.no/car/used/ad.html?finnkode=341371636,9845.0
341357496,Peugeot 207,https://www.finn.no/car/used/ad.html?finnkode=341357496,9845.0
341337477,Peugeot Partner,https://www.finn.no/car/used/ad.html?finnkode=341337477,6231.0
341312410,Volvo S60,https://www.finn.no/car/used/ad.html?finnkode=341312410,10000.0
329575602,Volvo V70,https://www.finn.no/car/used/ad.html?finnkode=329575602,7777.0
341236735,Toyota Aygo,https://www.finn.no/car/used/ad.html?finnkode=341236735,6000.0
341156032,Ford Focus,https://www.finn.no/car/used/ad.html?finnkode=341156032,7845.0
341140308,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=341140308,6345.0
339212346,Saab 9-3,https://www.finn.no/car/used/ad.html?finnkode=339212346,9845.0
341076469,Volvo S60,https://www.finn.no/car/used/ad.html?finnkode=341076469,6845.0
341030130,Peugeot Partner,https://www.finn.no/car/used/ad.html?finnkode=341030130,8231.0
340980444,Volvo V40,https://www.finn.no/car/used/ad.html?finnkode=340980444,5345.0
340773696,Volkswagen Golf Plus,https://www.finn.no/car/used/ad.html?finnkode=340773696,11845.0
338095889,Nissan Micra,https://www.finn.no/car/used/ad.html?finnkode=338095889,15000.0
341438349,Ford Mondeo,https://www.finn.no/car/used/ad.html?finnkode=341438349,13845.0
341448897,Volkswagen Transporter,https://www.finn.no/car/used/ad.html?finnkode=341448897,11231.0
341364136,Nissan X-Trail,https://www.finn.no/car/used/ad.html?finnkode=341364136,14190.0
